year,election_type,contest,jurisdiction_slug,office,district,seats,candidate,party,votes,rank_in_contest,n_precincts,suppressed,source_file
2006,general,COUNTY ASSESSOR,,Assessor,,,CHERYL MADSON REP,,33914,1,0,false,7dc173_5547b20a2256488fbb2f30d2b1102e7a.pdf
2006,general,COUNTY ASSESSOR,,Assessor,,,Write-in Votes,,233,2,0,false,7dc173_5547b20a2256488fbb2f30d2b1102e7a.pdf
2006,general,COUNTY ATTORNEY,,Attorney,,,MARK R. DECARIA DEM,,31278,1,0,false,7dc173_5547b20a2256488fbb2f30d2b1102e7a.pdf
2006,general,COUNTY ATTORNEY,,Attorney,,,Write-in Votes,,301,2,0,false,7dc173_5547b20a2256488fbb2f30d2b1102e7a.pdf
2006,general,COUNTY CLERK/AUDITOR,,Clerk/Auditor,,,ALAN D. MCEWAN REP,,21029,1,0,false,7dc173_5547b20a2256488fbb2f30d2b1102e7a.pdf
2006,general,COUNTY CLERK/AUDITOR,,Clerk/Auditor,,,TERESA YORGASON DEM,,19531,2,0,false,7dc173_5547b20a2256488fbb2f30d2b1102e7a.pdf
2006,general,COUNTY CLERK/AUDITOR,,Clerk/Auditor,,,Write-in Votes,,17,3,0,false,7dc173_5547b20a2256488fbb2f30d2b1102e7a.pdf
2006,general,COUNTY COMM A,,Commission,Seat A,,JAN M. ZOGMAISTER REP,,23841,1,0,false,7dc173_5547b20a2256488fbb2f30d2b1102e7a.pdf
2006,general,COUNTY COMM A,,Commission,Seat A,,BILL HANSEN DEM,,16895,2,0,false,7dc173_5547b20a2256488fbb2f30d2b1102e7a.pdf
2006,general,COUNTY COMM A,,Commission,Seat A,,Write-in Votes,,38,3,0,false,7dc173_5547b20a2256488fbb2f30d2b1102e7a.pdf
2006,general,COUNTY COMM B,,Commission,Seat B,,KENNETH A. BISCHOFF REP,,23864,1,0,false,7dc173_5547b20a2256488fbb2f30d2b1102e7a.pdf
2006,general,COUNTY COMM B,,Commission,Seat B,,SHELLY JENKINS DEM,,17193,2,0,false,7dc173_5547b20a2256488fbb2f30d2b1102e7a.pdf
2006,general,COUNTY COMM B,,Commission,Seat B,,Write-in Votes,,29,3,0,false,7dc173_5547b20a2256488fbb2f30d2b1102e7a.pdf
2006,general,COUNTY RECORDER/SURVEYOR,,Recorder/Surveyor,,,ERNEST D. ROWLEY REP,,21318,1,0,false,7dc173_5547b20a2256488fbb2f30d2b1102e7a.pdf
2006,general,COUNTY RECORDER/SURVEYOR,,Recorder/Surveyor,,,DEBBIE A. HANSEN DEM,,19277,2,0,false,7dc173_5547b20a2256488fbb2f30d2b1102e7a.pdf
2006,general,COUNTY RECORDER/SURVEYOR,,Recorder/Surveyor,,,Write-in Votes,,11,3,0,false,7dc173_5547b20a2256488fbb2f30d2b1102e7a.pdf
2006,general,COUNTY SHERIFF,,Sheriff,,,BRAD W. SLATER REP,,26817,1,0,false,7dc173_5547b20a2256488fbb2f30d2b1102e7a.pdf
2006,general,COUNTY SHERIFF,,Sheriff,,,CHAD LEDFORD DEM,,14146,2,0,false,7dc173_5547b20a2256488fbb2f30d2b1102e7a.pdf
2006,general,COUNTY SHERIFF,,Sheriff,,,Write-in Votes,,27,3,0,false,7dc173_5547b20a2256488fbb2f30d2b1102e7a.pdf
2006,general,COUNTY TREASURER,,Treasurer,,,NILA B. DAYTON REP,,33879,1,0,false,7dc173_5547b20a2256488fbb2f30d2b1102e7a.pdf
2006,general,COUNTY TREASURER,,Treasurer,,,Write-in Votes,,280,2,0,false,7dc173_5547b20a2256488fbb2f30d2b1102e7a.pdf
