date,body,md_path,source_url,source_file,minutes_status,extraction,text_chars,note
2022-04-28,Board of Adjustment,land_use/minutes/2022/2022-04-28_board_of_adjustment.md,"https://www.webercountyutah.gov/planning/documents/uploads/2022- BOA April 28, Minutes draft.pdf","2022- BOA April 28, Minutes draft.pdf",Draft,text,10165,
2022-09-22,Board of Adjustment,land_use/minutes/2022/2022-09-22_board_of_adjustment.md,"https://www.webercountyutah.gov/planning/documents/uploads/2022- BOA Sept 22, Minutes.pdf","2022- BOA Sept 22, Minutes.pdf",Unlabeled,text,15207,
2024-04-25,Board of Adjustment,land_use/minutes/2024/2024-04-25_board_of_adjustment.md,"https://www.webercountyutah.gov/planning/documents/uploads/2024- BOA April 25, Minutes Approved.pdf","2024- BOA April 25, Minutes Approved.pdf",Approved,text,6681,
2024-08-08,Board of Adjustment,land_use/minutes/2024/2024-08-08_board_of_adjustment.md,"https://www.webercountyutah.gov/planning/documents/uploads/2024- BOA August 8, Minutes.pdf","2024- BOA August 8, Minutes.pdf",Unlabeled,text,13987,
2024-10-24,Board of Adjustment,land_use/minutes/2024/2024-10-24_board_of_adjustment.md,https://www.webercountyutah.gov/planning/documents/uploads/2024- October 24 Minutes_Approved.pdf,2024- October 24 Minutes_Approved.pdf,Approved,text,6086,
2025-01-23,Board of Adjustment,land_use/minutes/2025/2025-01-23_board_of_adjustment.md,https://www.webercountyutah.gov/planning/documents/uploads/01-23-25 boa minutes-Approved.pdf,01-23-25 boa minutes-Approved.pdf,Approved,text,25062,
2025-03-13,Board of Adjustment,land_use/minutes/2025/2025-03-13_board_of_adjustment.md,https://www.webercountyutah.gov/planning/documents/uploads/03-13-25 boa minutes - Approved.pdf,03-13-25 boa minutes - Approved.pdf,Approved,text,17129,
2025-03-27,Board of Adjustment,land_use/minutes/2025/2025-03-27_board_of_adjustment.md,https://www.webercountyutah.gov/planning/documents/uploads/03-27-25 boa minutes- Approved.pdf,03-27-25 boa minutes- Approved.pdf,Approved,text,24270,
2025-09-11,Board of Adjustment,land_use/minutes/2025/2025-09-11_board_of_adjustment.md,https://www.webercountyutah.gov/planning/documents/uploads/09-11-25 boa minutes.pdf,09-11-25 boa minutes.pdf,Unlabeled,text,8888,
2025-09-18,Board of Adjustment,land_use/minutes/2025/2025-09-18_board_of_adjustment.md,https://www.webercountyutah.gov/planning/documents/uploads/09-18-25 boa minutes.pdf,09-18-25 boa minutes.pdf,Unlabeled,text,2795,
2025-09-25,Board of Adjustment,land_use/minutes/2025/2025-09-25_board_of_adjustment.md,https://www.webercountyutah.gov/planning/documents/uploads/09-25-25 boa minutes Approved.pdf,09-25-25 boa minutes Approved.pdf,Approved,text,5867,
2025-10-23,Board of Adjustment,land_use/minutes/2025/2025-10-23_board_of_adjustment.md,https://www.webercountyutah.gov/planning/documents/uploads/10-23-25 boa minutes Approved.pdf,10-23-25 boa minutes Approved.pdf,Approved,text,7443,
2020-04-07,Ogden Valley Planning Commission,land_use/minutes/2020/2020-04-07_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/APR_7_2020 ovpc minutes approved.docx,APR_7_2020 ovpc minutes approved.docx,Approved,text,5983,
2020-04-28,Ogden Valley Planning Commission,land_use/minutes/2020/2020-04-28_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/APR_28_2020 ovpc minutes approved.docx,APR_28_2020 ovpc minutes approved.docx,Approved,text,6684,
2020-05-05,Ogden Valley Planning Commission,land_use/minutes/2020/2020-05-05_ogden_valley_pc.md,https://www.webercountyutah.gov/planning/documents/uploads/MAY_5_2020 ovpc minutes -Approved.docx,MAY_5_2020 ovpc minutes -Approved.docx,Approved,text,3658,
