referral_id,primary_application_id,primary_body,related_application_id,related_body,match_method,confidence,shared_address,subject_score,primary_date,related_date,gap_days,note
1,8,Council,217,PlanningCommission,address+subject,high,4701 w 6200 s,0.791,2020-07-08,2020-04-21,78,
2,9,Council,219,PlanningCommission,subject,medium,,0.747,2020-07-29,2020-05-19,71,
3,15,Council,325,PlanningCommission,subject,medium,,0.847,2025-09-09,2025-08-05,35,
4,21,Council,272,PlanningCommission,subject,medium,,0.768,2024-01-24,2023-11-14,71,
5,42,Council,229,PlanningCommission,address,low,8482 s redwood,0.824,2021-06-23,2021-05-18,36,
6,52,Council,230,PlanningCommission,subject,medium,,1.0,2021-10-27,2021-10-05,22,
7,64,Council,233,PlanningCommission,subject,medium,,0.559,2022-03-09,2022-04-05,-27,
8,70,Council,233,PlanningCommission,address+subject,high,7553 s 2700 w,1.0,2022-05-25,2022-04-05,50,
9,77,Council,242,PlanningCommission,subject,medium,,0.763,2022-06-22,2022-05-17,36,
10,78,Council,242,PlanningCommission,subject,medium,,0.71,2022-06-22,2022-05-17,36,
11,84,Council,244,PlanningCommission,address+subject,high,7662 s 5490 w,0.579,2022-08-24,2022-06-21,64,
12,90,Council,247,PlanningCommission,subject,medium,,0.595,2022-11-02,2022-10-04,29,
13,93,Council,248,PlanningCommission,subject,medium,,0.337,2022-12-21,2022-10-04,78,
14,95,Council,236,PlanningCommission,address+subject,high,8945 s 4800 w,0.63,2022-12-21,2022-04-19,246,
15,95,Council,237,PlanningCommission,address+subject,high,8945 s 4800 w,0.202,2022-12-21,2022-04-19,246,
16,99,Council,256,PlanningCommission,address+subject,high,9290 s 1300 w,0.825,2023-02-22,2022-12-20,64,
17,107,Council,263,PlanningCommission,address,low,1897 w 7800 s,0.187,2023-05-10,2023-04-18,22,
18,110,Council,257,PlanningCommission,subject,medium,,1.0,2023-06-14,2022-12-20,176,
19,123,Council,280,PlanningCommission,address,low,1986 w gardner,0.105,2024-04-24,2024-03-05,50,
20,131,Council,284,PlanningCommission,address+subject,high,1390 w 9000 s,0.727,2024-07-31,2024-06-18,43,
21,146,Council,298,PlanningCommission,address+subject,high,6686 s redwood,0.248,2024-12-04,2024-11-19,15,
22,148,Council,295,PlanningCommission,subject,medium,,0.338,2024-12-04,2024-10-15,50,
23,153,Council,300,PlanningCommission,subject,medium,,1.0,2025-01-14,2024-12-17,28,
24,156,Council,303,PlanningCommission,subject,medium,,0.775,2025-01-28,2025-01-07,21,
25,160,Council,299,PlanningCommission,subject,medium,,0.386,2025-03-11,2024-11-19,112,
26,168,Council,308,PlanningCommission,address,low,5891 w 7000 s,0.569,2025-05-27,2025-04-15,42,
27,174,Council,315,PlanningCommission,address,low,8399 s dunlop,0.557,2025-07-22,2025-06-17,35,
28,179,Council,318,PlanningCommission,subject,medium,,0.809,2025-08-26,2025-07-15,42,
29,180,Council,321,PlanningCommission,address+subject,high,7495 s 1300 w,0.552,2025-09-09,2025-08-05,35,
30,180,Council,322,PlanningCommission,address+subject,high,7495 s 1300 w,0.608,2025-09-09,2025-08-05,35,
31,183,Council,330,PlanningCommission,subject,medium,,0.862,2025-09-23,2025-09-02,21,
32,185,Council,328,PlanningCommission,subject,medium,,1.0,2025-09-23,2025-09-02,21,
33,190,Council,336,PlanningCommission,address+subject,high,9047 s copper dust,0.638,2025-12-16,2025-11-25,21,
34,193,Council,336,PlanningCommission,address+subject,high,9047 s copper dust,0.635,2026-01-27,2025-11-25,63,
35,196,Council,342,PlanningCommission,address+subject,high,2659 w 7000 s,0.255,2026-02-24,2026-03-03,-7,
