ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,disposition
20-07,2020-05-13,2020-05-13,"amending Title 1, Chapter 13 of the West Jordan City Code",meeting_minutes/minutes/2020/2020-05-11/2020-05-13_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2020-05-13,9,within_source,adopted
20-08,2020-05-13,2020-05-13,approving the proposed changes to the City Transportation Masterplan Future Roadway Network,meeting_minutes/minutes/2020/2020-05-11/2020-05-13_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,6-0 Pass,2020-05-13,6,within_source,adopted
20-11,2020-08-12,2020-08-12,amending the 2009 West Jordan City Municipal Code Section 1-7-7 and authorizing the suspension of sign regulations during a declared emergency,meeting_minutes/minutes/2020/2020-08-10/2020-08-12_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,6-1 Pass,2020-08-12,4,within_source,adopted
20-12,2020-05-27,2020-05-27,approving a rezone of 2.29 acres at 8631 South Redwood Road from RR- 1A Zone to P-O Zone,meeting_minutes/minutes/2020/2020-05-25/2020-05-27_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,Y,7-0 Pass,2020-05-27,2,within_source,adopted
20-13,2020-05-27,2020-05-27,"General Plan Land Use Map Amendment to rezone approximately 9 acres from Parks and Open Land to Light Industrial, and rezone approximately 60 acres from A-20 to M-1 Zone",meeting_minutes/minutes/2020/2020-05-25/2020-05-27_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,Y,7-0 Pass,2020-05-27,1,within_source,adopted
20-14,2020-06-24,2020-06-24,adopting the final budget for Fiscal Year 2020-2021 with changes as proposed and included in the agenda packet,meeting_minutes/minutes/2020/2020-06-22/2020-06-24_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,6-1 Pass,2020-06-24,10,within_source,adopted
20-15,2020-06-24,2020-06-24,setting the 2020 Property Tax Rate,meeting_minutes/minutes/2020/2020-06-22/2020-06-24_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,6-1 Pass,2020-06-24,5,within_source,adopted
20-16,2020-06-24,2020-06-24,adopting an amendment to the City of West Jordan’s annual budget for Fiscal Year 2019-2020,meeting_minutes/minutes/2020/2020-06-22/2020-06-24_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2020-06-24,3,within_source,adopted
20-17,2020-07-08,2020-07-08,"amending the 2009 City Code Title 13 to include “Micro Wireless Facility and Small Wireless Facility” in Chapter 16, Low Power Radio Service Antennas",meeting_minutes/minutes/2020/2020-07-06/2020-07-08_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,Y,7-0 Pass,2020-07-08,3,within_source,adopted
20-18,2020-07-29,2020-07-29,"amending the 2009 City Code allowing Tattoo and Body Engraving Services as a Conditional Use in the SC-3 (Regional Shopping Center) Zone, Redwood Road Overlay (RWO), and CC-C (City Center Core) Zone",meeting_minutes/minutes/2020/2020-07-27/2020-07-29_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,Y,6-1 Pass,2020-07-29,2,within_source,adopted
