date,year,title,slug,path,source,source_url,format
2020-09-29,2020,Planning Commission,planning-commission-meeting,planning_commission/minutes/2020/2020-09-28/2020-09-29_planning-commission-meeting.md,primegov,https://westjordan.primegov.com/Public/CompiledDocument?meetingTemplateId=1177,text
2021-03-31,2021,Planning Commission,planning-commission-meeting,planning_commission/minutes/2021/2021-03-29/2021-03-31_planning-commission-meeting.md,primegov,https://westjordan.primegov.com/Public/CompiledDocument?meetingTemplateId=953,text
2021-08-31,2021,Planning Commission,planning-commission-meeting,planning_commission/minutes/2021/2021-08-30/2021-08-31_planning-commission-meeting.md,primegov,https://westjordan.primegov.com/Public/CompiledDocument?meetingTemplateId=876,text
2022-07-19,2022,Planning Commission,planning-commission-meeting,planning_commission/minutes/2022/2022-07-18/2022-07-19_planning-commission-meeting.md,primegov,https://westjordan.primegov.com/Public/CompiledDocument?meetingTemplateId=113,text
2022-08-16,2022,Planning Commission,planning-commission-meeting,planning_commission/minutes/2022/2022-08-15/2022-08-16_planning-commission-meeting.md,primegov,https://westjordan.primegov.com/Public/CompiledDocument?meetingTemplateId=123,text
2022-08-30,2022,Planning Commission,planning-commission-meeting,planning_commission/minutes/2022/2022-08-29/2022-08-30_planning-commission-meeting.md,primegov,https://westjordan.primegov.com/Public/CompiledDocument?meetingTemplateId=297,text
2022-09-06,2022,Planning Commission,planning-commission-meeting,planning_commission/minutes/2022/2022-09-05/2022-09-06_planning-commission-meeting.md,primegov,https://westjordan.primegov.com/Public/CompiledDocument?meetingTemplateId=128,text
2022-09-20,2022,Planning Commission,planning-commission-meeting,planning_commission/minutes/2022/2022-09-19/2022-09-20_planning-commission-meeting.md,primegov,https://westjordan.primegov.com/Public/CompiledDocument?meetingTemplateId=133,text
2022-10-04,2022,Planning Commission,planning-commission-meeting,planning_commission/minutes/2022/2022-10-03/2022-10-04_planning-commission-meeting.md,primegov,https://westjordan.primegov.com/Public/CompiledDocument?meetingTemplateId=138,text
2022-10-18,2022,Planning Commission,planning-commission-meeting,planning_commission/minutes/2022/2022-10-17/2022-10-18_planning-commission-meeting.md,primegov,https://westjordan.primegov.com/Public/CompiledDocument?meetingTemplateId=143,text
2022-11-01,2022,Planning Commission,planning-commission-meeting,planning_commission/minutes/2022/2022-10-31/2022-11-01_planning-commission-meeting.md,primegov,https://westjordan.primegov.com/Public/CompiledDocument?meetingTemplateId=148,text
