source,motion_no,date,body,motion_type_native,motion_type_std,land_use_type,action_class,outcome,tally_aye,tally_nay,tally_other,vote_mode,result_raw,classify_method,classify_confidence
pmn_backfill/text/pc_2020-01-21_a31809_6f0235c31a2c4b399a782bcc3f544216.txt,3,2020-01-21,PlanningCommission,Land-Use/Zoning,Land-Use,General-Plan-Amendment,recommendation,pass,6,1,,roll-call,Positive recommendation 6:1,rule:lu-gpa,high
pmn_backfill/text/pc_2020-01-21_a31809_6f0235c31a2c4b399a782bcc3f544216.txt,4,2020-01-21,PlanningCommission,Land-Use/Zoning,Land-Use,Rezone,recommendation,pass,6,1,,roll-call,Positive recommendation 6:1,rule:lu-rezone,high
pmn_backfill/text/pc_2020-02-04_a31809_a51dcc1a0ef84dadab8758768954e842.txt,1,2020-02-04,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,6,0,,roll-call,6:0 Pass,crosswalk,high
pmn_backfill/text/pc_2020-02-04_a31809_a51dcc1a0ef84dadab8758768954e842.txt,2,2020-02-04,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,6,0,,roll-call,6:0 Pass,crosswalk,medium
pmn_backfill/text/pc_2020-02-04_a31809_a51dcc1a0ef84dadab8758768954e842.txt,4,2020-02-04,PlanningCommission,Other,Other,,final-action,pass,4,2,,roll-call,4:2 Approved (Final Action),rule:no-signal,low
pmn_backfill/text/pc_2020-02-04_a31809_a51dcc1a0ef84dadab8758768954e842.txt,5,2020-02-04,PlanningCommission,Land-Use/Zoning,Land-Use,Development-Agreement,recommendation,pass,4,2,,roll-call,Positive recommendation 4:2,rule:lu-devagr,high
pmn_backfill/text/pc_2020-02-18_a31809_b57bcb2e931d43ad82f8091ccad6afc3.txt,1,2020-02-18,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,5,0,,roll-call,5:0 Pass,crosswalk,high
pmn_backfill/text/pc_2020-02-18_a31809_b57bcb2e931d43ad82f8091ccad6afc3.txt,2,2020-02-18,PlanningCommission,Land-Use/Zoning,Land-Use,Site-Plan-Design-Review,final-action,pass,5,0,,roll-call,5:0 Approved (Final Action),rule:lu-site,high
pmn_backfill/text/pc_2020-02-18_a31809_b57bcb2e931d43ad82f8091ccad6afc3.txt,3,2020-02-18,PlanningCommission,Land-Use/Zoning,Land-Use,Conditional-Use,final-action,pass,5,0,,roll-call,5:0 Approved (Final Action),rule:lu-cup,high
pmn_backfill/text/pc_2020-02-18_a31809_b57bcb2e931d43ad82f8091ccad6afc3.txt,4,2020-02-18,PlanningCommission,Land-Use/Zoning,Land-Use,Rezone,recommendation,pass,5,0,,roll-call,Positive recommendation 5:0,rule:lu-rezone,high
pmn_backfill/text/pc_2020-03-03_a31809_3374230ec56143e2952e08cdd3aa09d3.txt,1,2020-03-03,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,5,0,,roll-call,5:0 Pass,crosswalk,high
pmn_backfill/text/pc_2020-03-03_a31809_3374230ec56143e2952e08cdd3aa09d3.txt,2,2020-03-03,PlanningCommission,Land-Use/Zoning,Land-Use,Site-Plan-Design-Review,final-action,pass,5,0,,roll-call,5:0 Approved (Final Action),rule:lu-site,high
pmn_backfill/text/pc_2020-03-03_a31809_3374230ec56143e2952e08cdd3aa09d3.txt,3,2020-03-03,PlanningCommission,Land-Use/Zoning,Land-Use,Conditional-Use,final-action,pass,5,0,,roll-call,5:0 Approved (Final Action),rule:lu-cup,high
pmn_backfill/text/pc_2020-03-03_a31809_3374230ec56143e2952e08cdd3aa09d3.txt,4,2020-03-03,PlanningCommission,Land-Use/Zoning,Land-Use,Conditional-Use,final-action,pass,5,0,,roll-call,5:0 Approved (Final Action),rule:lu-cup,high
pmn_backfill/text/pc_2020-03-03_a31809_3374230ec56143e2952e08cdd3aa09d3.txt,5,2020-03-03,PlanningCommission,Land-Use/Zoning,Land-Use,Subdivision-Plat,final-action,pass,5,0,,roll-call,5:0 Approved (Final Action),rule:lu-subdiv,high
pmn_backfill/text/pc_2020-03-03_a31809_3374230ec56143e2952e08cdd3aa09d3.txt,6,2020-03-03,PlanningCommission,Procedural/Administrative,Land-Use,Rezone,procedural,pass,5,0,,roll-call,5:0 Pass,rule:lu-rezone,high
pmn_backfill/text/pc_2020-04-21_a31809_eca82c7e80d34565a1c7d76d4b633e99.txt,8,2020-04-21,PlanningCommission,Land-Use/Zoning,Land-Use,Rezone,recommendation,pass,5,1,,roll-call,Positive recommendation 5:1,rule:lu-rezone,high
pmn_backfill/text/pc_2020-05-19_a31809_da85de2e5fe444f8bda986ec4d427baa.txt,1,2020-05-19,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,5,0,,roll-call,5:0 Pass,crosswalk,high
pmn_backfill/text/pc_2020-05-19_a31809_da85de2e5fe444f8bda986ec4d427baa.txt,2,2020-05-19,PlanningCommission,Land-Use/Zoning,Land-Use,Subdivision-Plat,final-action,pass,5,0,,roll-call,5:0 Approved (Final Action),rule:lu-subdiv,high
pmn_backfill/text/pc_2020-05-19_a31809_da85de2e5fe444f8bda986ec4d427baa.txt,3,2020-05-19,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,5,0,,roll-call,5:0 Pass,crosswalk,high
pmn_backfill/text/pc_2020-05-19_a31809_da85de2e5fe444f8bda986ec4d427baa.txt,4,2020-05-19,PlanningCommission,Land-Use/Zoning,Land-Use,Conditional-Use,recommendation,pass,5,0,,roll-call,Positive recommendation 5:0,rule:lu-cup,high
pmn_backfill/text/pc_2020-06-16_a31809_b4ce26e537f0407a8bb570324815d46e.txt,1,2020-06-16,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,5,0,,roll-call,5:0 Pass,crosswalk,high
pmn_backfill/text/pc_2020-06-16_a31809_b4ce26e537f0407a8bb570324815d46e.txt,2,2020-06-16,PlanningCommission,Other,Other,,recommendation,pass,5,0,,roll-call,Positive recommendation 5:0,rule:no-signal,low
pmn_backfill/text/pc_2020-06-16_a31809_b4ce26e537f0407a8bb570324815d46e.txt,3,2020-06-16,PlanningCommission,Land-Use/Zoning,Land-Use,Conditional-Use,final-action,pass,5,0,,roll-call,5:0 Approved (Final Action),rule:lu-cup,high
pmn_backfill/text/pc_2020-06-16_a31809_b4ce26e537f0407a8bb570324815d46e.txt,4,2020-06-16,PlanningCommission,Land-Use/Zoning,Land-Use,Conditional-Use,final-action,pass,5,0,,roll-call,5:0 Approved (Final Action),rule:lu-cup,high
pmn_backfill/text/pc_2020-06-16_a31809_b4ce26e537f0407a8bb570324815d46e.txt,5,2020-06-16,PlanningCommission,Procedural/Administrative,Land-Use,Subdivision-Plat,procedural,pass,5,0,,roll-call,5:0 Pass,rule:lu-subdiv,high
pmn_backfill/text/pc_2020-08-04_a31809_05d40724e56a4df7ac4916fa3d473c78.txt,1,2020-08-04,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,5,0,,roll-call,5:0 Pass,crosswalk,high
pmn_backfill/text/pc_2020-09-01_a31809_9f73bf5b0c4f4986b9462da8b117a109.txt,1,2020-09-01,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,6,0,,roll-call,6:0 Pass,crosswalk,high
pmn_backfill/text/pc_2020-09-01_a31809_9f73bf5b0c4f4986b9462da8b117a109.txt,2,2020-09-01,PlanningCommission,Land-Use/Zoning,Land-Use,Conditional-Use,final-action,pass,6,0,,roll-call,6:0 Approved (Final Action),rule:lu-cup,high
pmn_backfill/text/pc_2020-09-15_a31809_ba12d0d2b022432caba8624abf6c91c7.txt,1,2020-09-15,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,6,0,,roll-call,6:0 Pass,crosswalk,high
pmn_backfill/text/pc_2020-09-15_a31809_ba12d0d2b022432caba8624abf6c91c7.txt,2,2020-09-15,PlanningCommission,Land-Use/Zoning,Land-Use,Subdivision-Plat,final-action,pass,6,0,,roll-call,6:0 Approved (Final Action),rule:lu-subdiv,high
