commissioner,first_seen,last_seen,n_meetings
Corbin England,2020-01-07,2022-03-15,48
Jay Thomas,2020-01-07,2026-06-16,126
Kent Shelton,2020-01-07,2023-12-19,76
Matt Quinney,2020-01-07,2023-12-19,77
Trish Hatch,2020-01-07,2025-12-09,109
Ammon Allen,2020-01-21,2026-06-16,128
Pamela Bloom,2020-08-18,2022-08-30,30
George Winn,2022-01-18,2024-12-17,55
McKenna Marchant,2022-06-07,2023-02-07,9
Catherine Richardson,2023-04-18,2023-12-19,12
Emily Gonzalez,2024-01-02,2026-06-16,37
John Roberts,2024-01-02,2026-06-16,43
Tom Hollingsworth,2024-03-05,2026-06-16,42
Jimmy Anderson,2025-01-07,2026-06-16,23
Cheryl Acker,2026-01-06,2026-04-21,2
