date,year,title,body,motion_no,motion,motion_type,result,mover,seconder,member,vote,source
2020-11-04,2020,City Council Regular Meeting,Council,1,to approve Consent Items 5b and 5c,Other,7-0 Pass,Melissa Worthen,Kelvin Green,Kelvin Green,Aye,meeting_minutes/minutes/2020/2020-11-02/2020-11-04_city-council-regular-meeting.md
2020-11-04,2020,City Council Regular Meeting,Council,1,to approve Consent Items 5b and 5c,Other,7-0 Pass,Melissa Worthen,Kelvin Green,Zach Jacob,Aye,meeting_minutes/minutes/2020/2020-11-02/2020-11-04_city-council-regular-meeting.md
2020-11-04,2020,City Council Regular Meeting,Council,1,to approve Consent Items 5b and 5c,Other,7-0 Pass,Melissa Worthen,Kelvin Green,Chad Lamb,Aye,meeting_minutes/minutes/2020/2020-11-02/2020-11-04_city-council-regular-meeting.md
2020-11-04,2020,City Council Regular Meeting,Council,1,to approve Consent Items 5b and 5c,Other,7-0 Pass,Melissa Worthen,Kelvin Green,David Pack,Aye,meeting_minutes/minutes/2020/2020-11-02/2020-11-04_city-council-regular-meeting.md
2020-11-04,2020,City Council Regular Meeting,Council,1,to approve Consent Items 5b and 5c,Other,7-0 Pass,Melissa Worthen,Kelvin Green,Kayleen Whitelock,Aye,meeting_minutes/minutes/2020/2020-11-02/2020-11-04_city-council-regular-meeting.md
2020-11-04,2020,City Council Regular Meeting,Council,1,to approve Consent Items 5b and 5c,Other,7-0 Pass,Melissa Worthen,Kelvin Green,Melissa Worthen,Aye,meeting_minutes/minutes/2020/2020-11-02/2020-11-04_city-council-regular-meeting.md
2020-11-04,2020,City Council Regular Meeting,Council,1,to approve Consent Items 5b and 5c,Other,7-0 Pass,Melissa Worthen,Kelvin Green,Chris McConnehey,Aye,meeting_minutes/minutes/2020/2020-11-02/2020-11-04_city-council-regular-meeting.md
2020-11-04,2020,City Council Regular Meeting,Council,2,"to approve Ordinance 20-43 with modification to move two Council meetings from Wednesday to Tuesday (August 24, 2021 and November 16, 2021)",Ordinance,7-0 Pass,Kelvin Green,Kayleen Whitelock,Kelvin Green,Aye,meeting_minutes/minutes/2020/2020-11-02/2020-11-04_city-council-regular-meeting.md
2020-11-04,2020,City Council Regular Meeting,Council,2,"to approve Ordinance 20-43 with modification to move two Council meetings from Wednesday to Tuesday (August 24, 2021 and November 16, 2021)",Ordinance,7-0 Pass,Kelvin Green,Kayleen Whitelock,Zach Jacob,Aye,meeting_minutes/minutes/2020/2020-11-02/2020-11-04_city-council-regular-meeting.md
2020-11-04,2020,City Council Regular Meeting,Council,2,"to approve Ordinance 20-43 with modification to move two Council meetings from Wednesday to Tuesday (August 24, 2021 and November 16, 2021)",Ordinance,7-0 Pass,Kelvin Green,Kayleen Whitelock,Chad Lamb,Aye,meeting_minutes/minutes/2020/2020-11-02/2020-11-04_city-council-regular-meeting.md
2020-11-04,2020,City Council Regular Meeting,Council,2,"to approve Ordinance 20-43 with modification to move two Council meetings from Wednesday to Tuesday (August 24, 2021 and November 16, 2021)",Ordinance,7-0 Pass,Kelvin Green,Kayleen Whitelock,David Pack,Aye,meeting_minutes/minutes/2020/2020-11-02/2020-11-04_city-council-regular-meeting.md
