primary_app_key,related_app_key,action,note
Council|s|minutes/2020/2020-05-04/2020-05-05_council-regular-meeting.md|4,PlanningCommission|s|minutes/2020/2020-12-07/2020-12-09_planning-commission-meeting.md|6,suppress,auto subject-match noise: case-number titles collapse to a bare body-type token (e.g. 'pud'); distinct matters
Council|s|minutes/2020/2020-05-04/2020-05-05_council-regular-meeting.md|4,PlanningCommission|s|minutes/2024/2024-10-21/2024-10-23_planning-commission-meeting.md|1,suppress,auto subject-match noise: case-number titles collapse to a bare body-type token (e.g. 'pud'); distinct matters
Council|s|minutes/2020/2020-05-04/2020-05-05_council-regular-meeting.md|4,PlanningCommission|s|minutes/2025/2025-02-24/2025-02-26_planning-commission-meeting.md|1,suppress,auto subject-match noise: case-number titles collapse to a bare body-type token (e.g. 'pud'); distinct matters
Council|s|minutes/2021/2021-03-22/2021-03-23_council-regular-meeting.md|4,PlanningCommission|s|minutes/2020/2020-12-07/2020-12-09_planning-commission-meeting.md|6,suppress,auto subject-match noise: case-number titles collapse to a bare body-type token (e.g. 'pud'); distinct matters
Council|s|minutes/2021/2021-03-22/2021-03-23_council-regular-meeting.md|4,PlanningCommission|s|minutes/2024/2024-10-21/2024-10-23_planning-commission-meeting.md|1,suppress,auto subject-match noise: case-number titles collapse to a bare body-type token (e.g. 'pud'); distinct matters
Council|s|minutes/2021/2021-03-22/2021-03-23_council-regular-meeting.md|4,PlanningCommission|s|minutes/2025/2025-02-24/2025-02-26_planning-commission-meeting.md|1,suppress,auto subject-match noise: case-number titles collapse to a bare body-type token (e.g. 'pud'); distinct matters
Council|s|minutes/2021/2021-08-23/2021-08-24_council-regular-meeting.md|4,RDA|s|minutes/2022/2022-08-22/2022-08-23_redevelopment-agency-meeting.md|4,suppress,auto subject-match noise: case-number titles collapse to a bare body-type token (e.g. 'pud'); distinct matters
Council|s|minutes/2021/2021-12-13/2021-12-14_council-regular-meeting.md|7,RDA|s|minutes/2021/2021-12-13/2021-12-14_redevelopment-agency-meeting.md|2,suppress,auto subject-match noise: case-number titles collapse to a bare body-type token (e.g. 'pud'); distinct matters
Council|s|minutes/2021/2021-12-13/2021-12-14_council-regular-meeting.md|8,PlanningCommission|s|minutes/2020/2020-12-07/2020-12-09_planning-commission-meeting.md|6,suppress,auto subject-match noise: case-number titles collapse to a bare body-type token (e.g. 'pud'); distinct matters
Council|s|minutes/2021/2021-12-13/2021-12-14_council-regular-meeting.md|8,PlanningCommission|s|minutes/2024/2024-10-21/2024-10-23_planning-commission-meeting.md|1,suppress,auto subject-match noise: case-number titles collapse to a bare body-type token (e.g. 'pud'); distinct matters
Council|s|minutes/2021/2021-12-13/2021-12-14_council-regular-meeting.md|8,PlanningCommission|s|minutes/2025/2025-02-24/2025-02-26_planning-commission-meeting.md|1,suppress,auto subject-match noise: case-number titles collapse to a bare body-type token (e.g. 'pud'); distinct matters
Council|s|minutes/2022/2022-01-10/2022-01-11_council-regular-meeting.md|5,PlanningCommission|s|minutes/2020/2020-12-07/2020-12-09_planning-commission-meeting.md|6,suppress,auto subject-match noise: case-number titles collapse to a bare body-type token (e.g. 'pud'); distinct matters
Council|s|minutes/2022/2022-01-10/2022-01-11_council-regular-meeting.md|5,PlanningCommission|s|minutes/2024/2024-10-21/2024-10-23_planning-commission-meeting.md|1,suppress,auto subject-match noise: case-number titles collapse to a bare body-type token (e.g. 'pud'); distinct matters
Council|s|minutes/2022/2022-01-10/2022-01-11_council-regular-meeting.md|5,PlanningCommission|s|minutes/2025/2025-02-24/2025-02-26_planning-commission-meeting.md|1,suppress,auto subject-match noise: case-number titles collapse to a bare body-type token (e.g. 'pud'); distinct matters
Council|s|minutes/2022/2022-01-31/2022-02-01_council-regular-meeting.md|4,PlanningCommission|s|minutes/2020/2020-12-07/2020-12-09_planning-commission-meeting.md|6,suppress,auto subject-match noise: case-number titles collapse to a bare body-type token (e.g. 'pud'); distinct matters
Council|s|minutes/2022/2022-01-31/2022-02-01_council-regular-meeting.md|4,PlanningCommission|s|minutes/2024/2024-10-21/2024-10-23_planning-commission-meeting.md|1,suppress,auto subject-match noise: case-number titles collapse to a bare body-type token (e.g. 'pud'); distinct matters
Council|s|minutes/2022/2022-01-31/2022-02-01_council-regular-meeting.md|4,PlanningCommission|s|minutes/2025/2025-02-24/2025-02-26_planning-commission-meeting.md|1,suppress,auto subject-match noise: case-number titles collapse to a bare body-type token (e.g. 'pud'); distinct matters
Council|s|minutes/2022/2022-10-31/2022-11-01_council-regular-meeting.md|4,PlanningCommission|s|minutes/2020/2020-12-07/2020-12-09_planning-commission-meeting.md|6,suppress,auto subject-match noise: case-number titles collapse to a bare body-type token (e.g. 'pud'); distinct matters
Council|s|minutes/2022/2022-10-31/2022-11-01_council-regular-meeting.md|4,PlanningCommission|s|minutes/2024/2024-10-21/2024-10-23_planning-commission-meeting.md|1,suppress,auto subject-match noise: case-number titles collapse to a bare body-type token (e.g. 'pud'); distinct matters
Council|s|minutes/2022/2022-10-31/2022-11-01_council-regular-meeting.md|4,PlanningCommission|s|minutes/2025/2025-02-24/2025-02-26_planning-commission-meeting.md|1,suppress,auto subject-match noise: case-number titles collapse to a bare body-type token (e.g. 'pud'); distinct matters
Council|s|minutes/2022/2022-12-12/2022-12-13_council-regular-meeting.md|11,PlanningCommission|s|minutes/2020/2020-12-07/2020-12-09_planning-commission-meeting.md|6,suppress,auto subject-match noise: case-number titles collapse to a bare body-type token (e.g. 'pud'); distinct matters
Council|s|minutes/2022/2022-12-12/2022-12-13_council-regular-meeting.md|11,PlanningCommission|s|minutes/2024/2024-10-21/2024-10-23_planning-commission-meeting.md|1,suppress,auto subject-match noise: case-number titles collapse to a bare body-type token (e.g. 'pud'); distinct matters
Council|s|minutes/2022/2022-12-12/2022-12-13_council-regular-meeting.md|11,PlanningCommission|s|minutes/2025/2025-02-24/2025-02-26_planning-commission-meeting.md|1,suppress,auto subject-match noise: case-number titles collapse to a bare body-type token (e.g. 'pud'); distinct matters
Council|s|minutes/2023/2023-12-04/2023-12-05_council-regular-meeting.md|10,PlanningCommission|s|minutes/2020/2020-12-07/2020-12-09_planning-commission-meeting.md|6,suppress,auto subject-match noise: case-number titles collapse to a bare body-type token (e.g. 'pud'); distinct matters
Council|s|minutes/2023/2023-12-04/2023-12-05_council-regular-meeting.md|10,PlanningCommission|s|minutes/2024/2024-10-21/2024-10-23_planning-commission-meeting.md|1,suppress,auto subject-match noise: case-number titles collapse to a bare body-type token (e.g. 'pud'); distinct matters
Council|s|minutes/2023/2023-12-04/2023-12-05_council-regular-meeting.md|10,PlanningCommission|s|minutes/2025/2025-02-24/2025-02-26_planning-commission-meeting.md|1,suppress,auto subject-match noise: case-number titles collapse to a bare body-type token (e.g. 'pud'); distinct matters
Council|s|minutes/2021/2021-12-06/2021-12-07_council-regular-meeting.md|4,PlanningCommission|s|minutes/2021/2021-08-09/2021-08-11_planning-commission-meeting.md|3,link,exact shared case number GPZ-14-2021 (Council action <- PC recommendation)
Council|s|minutes/2021/2021-03-22/2021-03-23_council-regular-meeting.md|4,PlanningCommission|s|minutes/2020/2020-05-25/2020-05-27_planning-commission-meeting.md|3,link,exact shared case number PUD-1-2020 (Council action <- PC recommendation)
Council|s|minutes/2022/2022-01-31/2022-02-01_council-regular-meeting.md|4,PlanningCommission|s|minutes/2021/2021-06-21/2021-06-23_planning-commission-meeting.md|1,link,exact shared case number PUD-2-2021 (Council action <- PC recommendation)
Council|s|minutes/2022/2022-01-31/2022-02-01_council-regular-meeting.md|4,PlanningCommission|s|minutes/2021/2021-10-25/2021-10-27_planning-commission-meeting.md|2,link,exact shared case number PUD-2-2021 (Council action <- PC recommendation)
Council|s|minutes/2022/2022-12-12/2022-12-13_council-regular-meeting.md|11,PlanningCommission|s|minutes/2022/2022-02-21/2022-02-23_planning-commission-meeting.md|3,link,exact shared case number PUD-2-2022 (Council action <- PC recommendation)
Council|s|minutes/2023/2023-12-04/2023-12-05_council-regular-meeting.md|10,PlanningCommission|advanced rv subdivision,link,exact shared case number PUD-2-2023 (Council action <- PC recommendation)
Council|s|minutes/2022/2022-10-31/2022-11-01_council-regular-meeting.md|4,PlanningCommission|s|minutes/2022/2022-02-21/2022-02-23_planning-commission-meeting.md|6,link,exact shared case number PUD-3-2022 (Council action <- PC recommendation)
Council|s|minutes/2022/2022-01-10/2022-01-11_council-regular-meeting.md|5,PlanningCommission|s|minutes/2021/2021-08-23/2021-08-25_planning-commission-meeting.md|1,link,exact shared case number PUD-4-2021 (Council action <- PC recommendation)
Council|s|minutes/2021/2021-12-13/2021-12-14_council-regular-meeting.md|8,PlanningCommission|s|minutes/2021/2021-10-25/2021-10-27_planning-commission-meeting.md|3,link,exact shared case number PUD-6-2021 (Council action <- PC recommendation)
Council|s|minutes/2023/2023-09-11/2023-09-12_council-regular-meeting.md|10,PlanningCommission|south industrial park subdivision,link,exact shared case number SMI-1-2023 (Council action <- PC recommendation)
Council|s|minutes/2023/2023-09-04/2023-09-05_council-regular-meeting.md|12,PlanningCommission|godfrey industrial park subdivision,link,exact shared case number SMI-4-2023 (Council action <- PC recommendation)
Council|s|minutes/2021/2021-03-22/2021-03-23_council-regular-meeting.md|4,PlanningCommission|s|minutes/2021/2021-03-22/2021-03-24_planning-commission-meeting.md|4,suppress,subject 'pud'-token noise: PC 512 is PUD-1-2021 not Council 97 PUD-1-2020; 97 already exact-linked to PC 504 (re-keyed 507->512 after 2026-Q3 PC refresh reassigned app_ids)
Council|s|minutes/2021/2021-12-13/2021-12-14_council-regular-meeting.md|8,PlanningCommission|s|minutes/2021/2021-03-22/2021-03-24_planning-commission-meeting.md|4,suppress,subject 'pud'-token noise: PC 512 is PUD-1-2021 not Council 196 PUD-6-2021; 196 already exact-linked to PC 524 (re-keyed 507->512 after 2026-Q3 PC refresh)
Council|s|minutes/2022/2022-01-10/2022-01-11_council-regular-meeting.md|5,PlanningCommission|s|minutes/2021/2021-03-22/2021-03-24_planning-commission-meeting.md|4,suppress,subject 'pud'-token noise: PC 512 is PUD-1-2021 not Council 201 PUD-4-2021; 201 already exact-linked to PC 521 (re-keyed 507->512 after 2026-Q3 PC refresh)
Council|s|minutes/2022/2022-01-31/2022-02-01_council-regular-meeting.md|4,PlanningCommission|s|minutes/2021/2021-03-22/2021-03-24_planning-commission-meeting.md|4,suppress,subject 'pud'-token noise: PC 512 is PUD-1-2021 not Council 203 PUD-2-2021; 203 already exact-linked to PC 517 (re-keyed 507->512 after 2026-Q3 PC refresh)
