vote_id,motion_id,person_id,vote_value
1,2,8,Aye
2,2,13,Aye
3,2,14,Aye
4,2,15,Aye
5,2,23,Aye
6,2,25,Aye
7,2,26,Aye
8,3,8,Aye
9,3,13,Aye
10,3,14,Aye
11,3,15,Aye
12,3,23,Aye
13,3,25,Aye
14,3,26,Aye
15,4,8,Aye
16,4,13,Aye
17,4,14,Aye
18,4,15,Aye
19,4,23,Aye
20,4,25,Aye
21,4,26,Aye
22,5,8,Aye
23,5,13,Aye
24,5,14,Aye
25,5,15,Aye
26,5,23,Aye
27,5,25,Aye
28,5,26,Aye
29,6,8,Aye
30,6,13,Aye
31,6,14,Aye
32,6,15,Aye
33,6,23,Aye
34,6,25,Aye
35,6,26,Aye
36,9,8,Aye
37,9,13,Aye
38,9,14,Aye
39,9,15,Aye
40,9,23,Aye
41,9,25,Aye
42,9,26,Aye
43,14,8,Aye
44,14,13,Aye
45,14,14,Aye
46,14,15,Aye
47,14,23,Aye
48,14,25,Aye
49,15,8,Aye
50,15,13,Aye
51,15,14,Aye
52,15,15,Aye
53,15,23,Aye
54,15,25,Aye
55,19,8,Aye
56,19,13,Aye
57,19,14,Aye
58,19,15,Aye
59,19,23,Aye
60,19,25,Aye
61,19,26,Aye
62,20,8,Aye
63,20,13,Aye
64,20,14,Aye
65,20,15,Aye
66,20,23,Aye
67,20,25,Aye
68,20,26,Aye
69,21,8,Aye
70,21,13,Aye
71,21,14,Aye
72,21,15,Aye
73,21,23,Aye
74,21,25,Aye
75,21,26,Aye
76,22,8,Aye
77,22,13,Aye
78,22,14,Aye
79,22,15,Aye
80,22,23,Aye
81,22,25,Aye
82,22,26,Aye
83,23,8,Aye
84,23,13,Aye
85,23,14,Aye
86,23,15,Aye
87,23,23,Aye
88,23,25,Aye
89,23,26,Aye
90,24,8,Aye
91,24,13,Aye
92,24,14,Aye
93,24,15,Aye
94,24,23,Aye
95,24,25,Aye
96,24,26,Aye
97,25,8,Aye
98,25,13,Aye
99,25,14,Aye
100,25,15,Aye
101,25,23,Aye
102,25,25,Aye
103,25,26,Aye
104,28,13,Aye
105,28,14,Aye
106,28,15,Aye
107,28,23,Aye
108,28,25,Aye
109,28,26,Aye
110,29,13,Aye
111,29,14,Aye
112,29,15,Aye
113,29,23,Aye
114,29,25,Aye
115,29,26,Aye
116,30,13,Aye
117,30,14,Aye
118,30,15,Aye
119,30,23,Aye
120,30,25,Aye
121,30,26,Aye
122,31,13,Aye
123,31,14,Aye
124,31,15,Aye
125,31,23,Aye
126,31,25,Aye
127,31,26,Aye
128,32,13,Aye
129,32,14,Aye
130,32,15,Aye
131,32,23,Aye
132,32,25,Aye
133,32,26,Aye
134,35,13,Aye
135,35,14,Aye
136,35,15,Aye
137,35,25,Aye
138,35,26,Aye
139,36,8,Aye
140,36,13,Aye
141,36,14,Aye
142,36,15,Aye
143,36,25,Aye
144,36,26,Aye
145,37,8,Aye
146,37,13,Aye
147,37,14,Aye
148,37,15,Aye
149,37,25,Aye
150,37,26,Aye
151,38,8,Aye
152,38,13,Aye
153,38,14,Aye
154,38,15,Aye
155,38,25,Aye
156,38,26,Aye
157,39,8,Aye
158,39,13,Aye
159,39,14,Aye
160,39,15,Aye
161,39,25,Aye
162,39,26,Aye
163,40,8,Aye
164,40,13,Aye
165,40,14,Aye
166,40,15,Aye
167,40,25,Aye
168,40,26,Aye
169,41,8,Aye
170,41,13,Aye
171,41,14,Aye
172,41,15,Aye
173,41,25,Aye
174,41,26,Aye
175,44,8,Aye
176,44,13,Aye
177,44,14,Aye
178,44,15,Aye
179,44,25,Aye
180,44,26,Aye
181,46,8,Aye
182,46,13,Aye
183,46,14,Aye
184,46,15,Aye
185,46,23,Aye
186,46,25,Aye
187,46,26,Aye
188,47,8,Aye
189,47,13,Aye
190,47,14,Aye
191,47,15,Aye
192,47,23,Aye
193,47,25,Aye
194,47,26,Aye
195,48,8,Aye
196,48,13,Aye
197,48,14,Aye
198,48,15,Aye
199,48,23,Aye
200,48,25,Aye
201,48,26,Aye
202,49,8,Aye
203,49,13,Aye
204,49,14,Aye
205,49,15,Aye
206,49,23,Aye
207,49,25,Aye
208,49,26,Aye
209,50,8,Aye
210,50,13,Aye
211,50,14,Aye
212,50,15,Aye
213,50,23,Aye
214,50,25,Aye
215,50,26,Aye
216,51,8,Aye
217,51,13,Aye
218,51,14,Aye
219,51,15,Aye
220,51,23,Aye
221,51,25,Aye
222,51,26,Aye
223,52,8,Aye
224,52,13,Aye
225,52,14,Aye
226,52,15,Aye
227,52,23,Aye
228,52,25,Aye
229,52,26,Aye
230,55,8,Aye
231,55,13,Aye
232,55,14,Aye
233,55,15,Aye
234,55,23,Aye
235,55,25,Aye
236,55,26,Aye
237,56,8,Aye
238,56,26,Aye
239,56,13,Nay
240,56,14,Nay
241,56,15,Nay
242,56,23,Nay
243,56,25,Nay
244,57,8,Aye
245,57,13,Aye
246,57,14,Aye
247,57,15,Aye
248,57,23,Aye
249,57,25,Aye
250,57,26,Nay
251,58,8,Aye
252,58,13,Aye
253,58,14,Aye
254,58,15,Aye
255,58,23,Aye
256,58,26,Aye
257,58,25,Nay
258,59,8,Aye
259,59,13,Aye
260,59,14,Aye
261,59,15,Aye
262,59,23,Aye
263,59,26,Aye
