year,election_type,office,district,contest,contest_verbatim,n_seats,n_candidates,voting_method,total_votes,total_first_choice_votes,winner,winner_votes,winner_pct,runner_up,runner_up_votes,margin_votes,margin_pct,registered_voters,ballots_cast,turnout_pct,uncontested,suppressed_precincts,note,source_file
2019,municipal general,Council,At-Large,West Valley City Council At-Large,,,2,,9865,,DON CHRISTENSEN,5590,56.66,DARRELL R CURTIS,4275,1315,13.33,,,,,,,
2019,municipal general,Council,1,West Valley City Council District 1,,,2,,1621,,TOM HUYNH,1064,65.64,CHRISTIANA TAVO,557,507,31.28,,,,,,,
2019,municipal general,Council,3,West Valley City Council District 3,,,2,,2638,,KAREN LANG,1855,70.32,KALETTA L. LYNCH,783,1072,40.64,,,,,,,
2021,municipal general,Mayor,,West Valley City Mayor,,,2,,11321,,KAREN LANG,6627,58.54,STEVE BUHLER,4694,1933,17.07,,,,,,,
2021,municipal general,Council,At-Large,West Valley City Council At-Large,,,3,,11087,,LARS NORDFELT,6607,59.59,JIM VESOCK,3911,2696,24.32,,,,,,,
2021,municipal general,Council,2,West Valley City Council District 2,,,2,,3386,,SCOTT HARMON,2011,59.39,CHRIS BELL,1375,636,18.78,,,,,,,
2021,municipal general,Council,4,West Valley City Council District 4,,,2,,3293,,JAKE FITISEMANU JR,1760,53.45,DARRELL R. CURTIS,1533,227,6.89,,,,,,,
2023,municipal general,Council,At-Large,West Valley City Council At-Large,,,2,,11475,,DON CHRISTENSEN,6703,58.41,SOPHIA HAWES-TINGEY,4772,1931,16.83,,,,,,,
2023,municipal general,Council,1,West Valley City Council District 1,,,2,,2078,,TOM HUYNH,1133,54.52,MARNI LEFEVRE,945,188,9.05,,,,,,,
2023,municipal general,Council,3,West Valley City Council District 3,,,2,,2724,,WILL WHETSTONE,1541,56.57,HEIDI ROGGENBUCK,1183,358,13.14,,,,,,,
2025,municipal general,Mayor,,West Valley City Mayor,,,2,,11758,,KAREN LANG,8866,75.4,JUNE FREEMAN HESLEPH,2892,5974,50.81,,,,,,,
2025,municipal general,Council,At-Large,West Valley City Council At-Large,,,3,,11552,,LARS NORDFELT,6333,54.82,HEIDI ROGGENBUCK,5052,1281,11.09,,,,,,,
2025,municipal general,Council,2,West Valley City Council District 2,,,2,,3579,,SCOTT L. HARMON,2202,61.53,DANNY GEORGE JR,1377,825,23.05,,,,,,,
2025,municipal general,Council,4,West Valley City Council District 4,,,2,,3513,,CINDY WOOD,2231,63.51,AMITONU WESLEY AMOSA,1282,949,27.01,,,,,,,
