ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,case_no
19-49,2020-01-07,2020-01-07,ACCEPT PUBLIC INPUT REGARDING RE-OPENING THE FY 2019- 2020 BUDGET,west_valley_city_council/meeting_minutes/minutes/2020/2020-01-06/2020-01-07_council-regular-meeting.md,2026-07-06,na,minutes-derived,,0,,2020-01-07,2,within_source,
20-01,2020-01-21,2020-01-21,"ACCEPT PUBLIC INPUT REGARDING APPLICATION SMI-7-2019, FILED BY STAY WVC LLC, REQUESTING FINAL PLAT APPROVAL FOR THE JMYL SUBDIVISION LOCATED AT 1770 WEST 4100 SOUTH",west_valley_city_council/meeting_minutes/minutes/2020/2020-01-20/2020-01-21_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2020-01-21,2,within_source,SMI-7-2019
20-02,2020-01-28,2020-01-28,"ACCEPT PUBLIC INPUT REGARDING APPLICATION SV-1-2019, FILED BY DANIEL HERZOG, REQUESTING FINAL PLAT APPROVAL TO VACATE 6565 SOUTH STUB STREET PER SUNSET HILLS PUD PHASE 2A LOCATED AT 6565 SOUTH AFTERGLOW LANE",west_valley_city_council/meeting_minutes/minutes/2020/2020-01-27/2020-01-28_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2020-01-28,2,within_source,
20-03,2020-01-28,2020-01-28,"ACCEPT PUBLIC INPUT REGARDING APPLICATION SA-9-2019, FILED BY JAMES WARNER, REQUESTING FINAL PLAT APPROVAL FOR THE SPRINTER SUBDIVISION- AMENDING LOTS 10A AND 14A OF THE WEST VALLEY TRUCK CENTER SUBDIVISION LOTS 10, 11, 14 AND 15 AMENDED LOCATED AT 5396 WEST 2400 SOUTH",west_valley_city_council/meeting_minutes/minutes/2020/2020-01-27/2020-01-28_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2020-01-28,3,within_source,
20-04,2020-02-04,2020-02-04,"ACCEPT PUBLIC INPUT REGARDING APPLICATION Z-3-2019, FILED BY KYLE MCMULLIN, REQUESTING A ZONE CHANGE FROM 'A' (AGRICULTURE, MINIMUM LOT SIZE 1/2 ACRE) TO 'M' (MANUFACTURING) ON PROPERTY LOCATED AT 6941 WEST SR-201 NORTH FRONTAGE ROAD",west_valley_city_council/meeting_minutes/minutes/2020/2020-02-03/2020-02-04_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2020-02-04,2,within_source,Z-3-2019
20-05,2020-02-04,2020-02-04,"ACCEPT PUBLIC INPUT REGARDING APPLICATION Z-5-2019, FILED BY WRIGHT DEVELOPMENT, REQUESTING A ZONE CHANGE FROM 'A' (AGRICULTURE, MINIMUM LOT SIZE ½ ACRE) TO 'C-2' (GENERAL COMMERCIAL) FOR PROPERTY LOCATED AT 5712 AND 5724 WEST 3500 SOUTH",west_valley_city_council/meeting_minutes/minutes/2020/2020-02-03/2020-02-04_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2020-02-04,4,within_source,Z-5-2019
20-06,2020-02-18,2020-02-18,"ACCEPT PUBLIC INPUT REGARDING APPLICATION ZT-15-2020, FILED BY WEST VALLEY CITY, REQUESTING A ZONE TEXT CHANGE TO CREATE THE RESIDENTIAL SUSTAINABILITY (RS) ZONE",west_valley_city_council/meeting_minutes/minutes/2020/2020-02-17/2020-02-18_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2020-02-18,8,within_source,
20-07,2020-02-11,2020-02-11,"ACCEPT PUBLIC INPUT REGARDING APPLICATION Z-4-2019, FILED BY VAHID SADEGHI, REQUESTING A ZONE CHANGE FROM M (MANUFACTURING) TO R-1-8 (SINGLE UNIT DWELLING RESIDENTIAL, MINIMUM LOT SIZE 8,000 SQUARE FEET) FOR PROPERTY LOCATED AT 4155 SOUTH 6000 WEST",west_valley_city_council/meeting_minutes/minutes/2020/2020-02-10/2020-02-11_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2020-02-11,3,within_source,Z-4-2019
20-08,2020-02-18,2020-02-18,"ACCEPT PUBLIC INPUT REGARDING APPLICATION SA-10-2019, FILED BY CORBIN BENNION, REQUESTING FINAL PLAT APPROVAL FOR ARA INDUSTRIAL PARK SUBDIVISION- PHASE 3 LOCATED AT 2540 SOUTH 6500 WEST",west_valley_city_council/meeting_minutes/minutes/2020/2020-02-17/2020-02-18_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2020-02-18,2,within_source,
20-09,2020-02-18,2020-02-18,"ACCEPT PUBLIC INPUT REGARDING APPLICATION ZT-16-2019, FILED BY APC TOWERS, REQUESTING A ZONE TEXT CHANGE TO AMEND SECTION 7-7-406 OF THE WEST VALLEY MUNICIPAL CODE, PROVISIONS APPLICABLE TO MONOPOLE TOWERS",west_valley_city_council/meeting_minutes/minutes/2020/2020-02-17/2020-02-18_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2020-02-18,4,within_source,
20-10,2020-02-18,2020-02-18,"ACCEPT PUBLIC INPUT REGARDING GPZ-6-2019, FILED BY KDA INVESTMENTS/WESTERN PLATS, LC, REQUESTING A GENERAL PLAN CHANGE FROM GENERAL COMMERCIAL TO LIGHT MANUFACTURING AND A ZONE CHANGE FROM C-2 (GENERAL COMMERCIAL) TO M (MANUFACTURING) FOR PROPERTY LOCATED AT 3572 SOUTH 1950 WEST",west_valley_city_council/meeting_minutes/minutes/2020/2020-02-17/2020-02-18_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2020-02-18,5,within_source,GPZ-6-2019
20-11,2020-02-18,2020-02-18,"ACCEPT PUBLIC INPUT REGARDING GPZ-6-2019, FILED BY KDA INVESTMENTS/WESTERN PLATS, LC, REQUESTING A GENERAL PLAN CHANGE FROM GENERAL COMMERCIAL TO LIGHT MANUFACTURING AND A ZONE CHANGE FROM C-2 (GENERAL COMMERCIAL) TO M (MANUFACTURING) FOR PROPERTY LOCATED AT 3572 SOUTH 1950 WEST",west_valley_city_council/meeting_minutes/minutes/2020/2020-02-17/2020-02-18_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2020-02-18,6,within_source,GPZ-6-2019
20-12,2020-02-25,2020-02-25,"ACCEPT PUBLIC INPUT REGARDING APPLICATION SA-8-2019, FILED BY WEST VALLEY CITY, REQUESTING FINAL PLAT APPROVAL FOR THE BEAGLEY ESTATES SUBDIVISION AMENDED FOR PROPERTY LOCATED AT 2590 SOUTH 7050 WEST",west_valley_city_council/meeting_minutes/minutes/2020/2020-02-24/2020-02-25_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2020-02-25,2,within_source,
20-13,2020-03-10,2020-03-10,"ACCEPT PUBLIC INPUT REGARDING APPLICATION ZT-17-2019, FILED BY WEST VALLEY CITY, REQUESTING A ZONE TEXT CHANGE TO AMEND THE CRITERIA USED TO DETERMINE WHETHER A PROPERTY IS ELIGIBLE TO BE REZONED TO THE RM ZONE, PARKING LOT LIGHTING STANDARDS, AND THE MULTI- UNIT RESIDENTIAL DESIGN STANDARDS",west_valley_city_council/meeting_minutes/minutes/2020/2020-03-09/2020-03-10_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2020-03-10,2,within_source,
20-14,2020-03-17,2020-03-17,"ACCEPT PUBLIC INPUT REGARDING APPLICATION ZT-1-2020, FILED BY WEST VALLEY CITY, REQUESTING A ZONE TEXT CHANGE TO SECTION 7-6-203 TO ADD HEIGHT AND AREA LIMITATIONS FOR ATTACHED PRIVATE GARAGES",west_valley_city_council/meeting_minutes/minutes/2020/2020-03-16/2020-03-17_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2020-03-17,2,within_source,
20-15,2020-03-17,2020-03-17,"ACCEPT PUBLIC INPUT REGARDING APPLICATION GPZ-1-2020, FILED BY FETZERS' INC., REQUESTING A GENERAL PLAN CHANGE FROM MIXED USE TO LIGHT MANUFACTURING AND A ZONE CHANGE FROM 'C-2' (GENERAL COMMERCIAL) TO 'M' (MANUFACTURING)",west_valley_city_council/meeting_minutes/minutes/2020/2020-03-16/2020-03-17_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2020-03-17,3,within_source,GPZ-1-2020
20-16,2020-03-17,2020-03-17,"ACCEPT PUBLIC INPUT REGARDING APPLICATION GPZ-1-2020, FILED BY FETZERS' INC., REQUESTING A GENERAL PLAN CHANGE FROM MIXED USE TO LIGHT MANUFACTURING AND A ZONE CHANGE FROM 'C-2' (GENERAL COMMERCIAL) TO 'M' (MANUFACTURING)",west_valley_city_council/meeting_minutes/minutes/2020/2020-03-16/2020-03-17_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2020-03-17,4,within_source,GPZ-1-2020
20-17,2020-04-07,2020-04-07,ACCEPT PUBLIC INPUT REGARDING RE-OPENING THE FY 2019- 2020 BUDGET,west_valley_city_council/meeting_minutes/minutes/2020/2020-04-06/2020-04-07_council-regular-meeting.md,2026-07-06,na,minutes-derived,,0,,2020-04-07,2,within_source,
