date,meeting_id,url,reason
2020-03-18,6966,,no minutes document attached on OnBase
2020-08-19,6976,,no minutes document attached on OnBase
2020-08-26,6998,,no minutes document attached on OnBase
2021-01-20,7178,,no minutes document attached on OnBase
2021-01-27,7229,,no minutes document attached on OnBase
2022-03-15,7609,,no minutes document attached on OnBase
2023-01-18,7631,,no minutes document attached on OnBase
2023-01-25,7660,,no minutes document attached on OnBase
2023-07-05,7648,,no minutes document attached on OnBase
2024-01-24,7877,,no minutes document attached on OnBase
2024-07-10,7889,https://ob.wvc-ut.gov/OnBaseAgendaOnline/Documents/DownloadFileBytes/Planning_Commission_Regular_Meeting_7889_Minutes_7_10_2024_4_00_00_PM.pdf?documentType=2&meetingId=7889,"meeting REAL (minutes approved 2024-08-28; continuation referenced 2024-08-14) but OnBase document slot serves the WRONG PDF - the April 10 2024 minutes (city mis-upload, re-verified live 2026-07-31); duplicate ingest removed 2026-07-31"
2024-10-02,7872,,no minutes document attached on OnBase
2024-10-09,7895,,no minutes document attached on OnBase
2025-04-16,8228,https://ob.wvc-ut.gov/OnBaseAgendaOnline/Documents/DownloadFileBytes/Planning_Commision_Study_Meeting_8228_Minutes_4_16_2025_3_30_00_PM.pdf?documentType=2&meetingId=8228,"meeting REAL (Study Meeting minutes approved 2025-05-14) but OnBase document slot serves the WRONG PDF - the April 23 2025 Public Hearing minutes (city mis-upload, re-verified live 2026-07-31); duplicate ingest removed 2026-07-31"
2026-04-15,8302,,minutes not yet posted
2026-05-13,8434,,minutes not yet posted
2026-05-20,8435,,minutes not yet posted
2026-05-27,8436,,minutes not yet posted
2026-06-03,8439,,minutes not yet posted
2026-06-10,8438,,minutes not yet posted
2026-06-17,8441,,minutes not yet posted
2026-06-24,8440,,minutes not yet posted
