source,motion_no,date,body,motion_type_native,motion_type_std,land_use_type,action_class,outcome,tally_aye,tally_nay,tally_other,vote_mode,result_raw,classify_method,classify_confidence
minutes/2020/2020-01-06/2020-01-08_planning-commission-meeting.md,1,2020-01-08,PlanningCommission,Zone Text Amendment,Land-Use,Text-Amendment,recommendation,pass,6,0,,roll-call,Positive recommendation 6:0,crosswalk,high
minutes/2020/2020-01-06/2020-01-08_planning-commission-meeting.md,2,2020-01-08,PlanningCommission,Zone Text Amendment,Land-Use,Text-Amendment,procedural,pass,6,0,,roll-call,6:0 Pass (Continued),crosswalk,high
minutes/2020/2020-01-06/2020-01-08_planning-commission-meeting.md,3,2020-01-08,PlanningCommission,Rezone,Land-Use,Rezone,recommendation,pass,6,0,,roll-call,Positive recommendation 6:0,crosswalk,high
minutes/2020/2020-01-06/2020-01-08_planning-commission-meeting.md,4,2020-01-08,PlanningCommission,Other,Other,,final-action,pass,6,0,,roll-call,6:0 Approved (Final Action),rule:no-signal,low
minutes/2020/2020-01-06/2020-01-08_planning-commission-meeting.md,5,2020-01-08,PlanningCommission,Street Vacation,Land-Use,Vacation,recommendation,pass,6,0,,roll-call,Positive recommendation 6:0,crosswalk,high
minutes/2020/2020-01-06/2020-01-08_planning-commission-meeting.md,6,2020-01-08,PlanningCommission,Subdivision,Land-Use,Subdivision-Plat,recommendation,pass,6,0,,roll-call,Positive recommendation 6:0,crosswalk,high
minutes/2020/2020-01-06/2020-01-08_planning-commission-meeting.md,7,2020-01-08,PlanningCommission,Other,Other,,final-action,pass,6,0,,roll-call,6:0 Approved (Final Action),rule:no-signal,low
minutes/2020/2020-01-20/2020-01-22_planning-commission-meeting.md,1,2020-01-22,PlanningCommission,Zone Text Amendment,Land-Use,Text-Amendment,recommendation,pass,6,1,,roll-call,Positive recommendation 6:1,crosswalk,high
minutes/2020/2020-01-20/2020-01-22_planning-commission-meeting.md,2,2020-01-22,PlanningCommission,Conditional Use,Land-Use,Conditional-Use,final-action,pass,7,0,,roll-call,7:0 Approved (Final Action),crosswalk,high
minutes/2020/2020-01-20/2020-01-22_planning-commission-meeting.md,3,2020-01-22,PlanningCommission,Site Plan,Land-Use,Site-Plan-Design-Review,final-action,pass,7,0,,roll-call,7:0 Approved (Final Action),crosswalk,high
minutes/2020/2020-02-10/2020-02-12_planning-commission-meeting.md,1,2020-02-12,PlanningCommission,General Plan & Rezone,Land-Use,Rezone,recommendation,pass,5,1,,roll-call,Positive recommendation 5:1,crosswalk,high
minutes/2020/2020-02-10/2020-02-12_planning-commission-meeting.md,2,2020-02-12,PlanningCommission,Zone Text Amendment,Land-Use,Text-Amendment,recommendation,pass,6,0,,roll-call,Positive recommendation 6:0,crosswalk,high
minutes/2020/2020-02-10/2020-02-12_planning-commission-meeting.md,3,2020-02-12,PlanningCommission,Conditional Use,Land-Use,Conditional-Use,final-action,pass,6,0,,roll-call,6:0 Approved (Final Action),crosswalk,high
minutes/2020/2020-02-10/2020-02-12_planning-commission-meeting.md,4,2020-02-12,PlanningCommission,Conditional Use,Land-Use,Conditional-Use,final-action,pass,6,0,,roll-call,6:0 Approved (Final Action),crosswalk,high
minutes/2020/2020-02-24/2020-02-26_planning-commission-meeting.md,1,2020-02-26,PlanningCommission,Zone Text Amendment,Land-Use,Text-Amendment,recommendation,pass,6,1,,roll-call,Negative recommendation 6:1,crosswalk,high
minutes/2020/2020-02-24/2020-02-26_planning-commission-meeting.md,2,2020-02-26,PlanningCommission,Conditional Use,Land-Use,Conditional-Use,final-action,pass,6,0,,roll-call,6:0 Approved (Final Action),crosswalk,high
minutes/2020/2020-03-09/2020-03-11_planning-commission-meeting.md,1,2020-03-11,PlanningCommission,General Plan & Rezone,Land-Use,Rezone,recommendation,pass,6,0,,roll-call,Positive recommendation 6:0,crosswalk,high
minutes/2020/2020-03-09/2020-03-11_planning-commission-meeting.md,2,2020-03-11,PlanningCommission,Conditional Use,Land-Use,Conditional-Use,procedural,pass,6,0,,roll-call,6:0 Pass (Continued),crosswalk,high
minutes/2020/2020-03-23/2020-03-25_planning-commission-meeting.md,1,2020-03-25,PlanningCommission,Conditional Use,Land-Use,Conditional-Use,final-action,pass,6,0,,roll-call,6:0 Approved (Final Action),crosswalk,high
minutes/2020/2020-03-23/2020-03-25_planning-commission-meeting.md,2,2020-03-25,PlanningCommission,Conditional Use,Land-Use,Conditional-Use,final-action,pass,7,0,,roll-call,7:0 Approved (Final Action),crosswalk,high
minutes/2020/2020-04-06/2020-04-08_planning-commission-meeting.md,1,2020-04-08,PlanningCommission,Rezone,Land-Use,Rezone,recommendation,pass,7,0,,roll-call,Positive recommendation 7:0,crosswalk,high
minutes/2020/2020-04-06/2020-04-08_planning-commission-meeting.md,2,2020-04-08,PlanningCommission,Conditional Use,Land-Use,Conditional-Use,final-action,pass,7,0,,roll-call,7:0 Approved (Final Action),crosswalk,high
minutes/2020/2020-04-06/2020-04-08_planning-commission-meeting.md,3,2020-04-08,PlanningCommission,Conditional Use,Land-Use,Conditional-Use,final-action,pass,7,0,,roll-call,7:0 Approved (Final Action),crosswalk,high
minutes/2020/2020-04-06/2020-04-08_planning-commission-meeting.md,4,2020-04-08,PlanningCommission,Conditional Use,Land-Use,Conditional-Use,final-action,pass,7,0,,roll-call,7:0 Approved (Final Action),crosswalk,high
minutes/2020/2020-04-06/2020-04-08_planning-commission-meeting.md,5,2020-04-08,PlanningCommission,Subdivision Amendment,Land-Use,Subdivision-Plat,recommendation,pass,7,0,,roll-call,Positive recommendation 7:0,crosswalk,medium
minutes/2020/2020-04-20/2020-04-22_planning-commission-meeting.md,1,2020-04-22,PlanningCommission,Conditional Use,Land-Use,Conditional-Use,final-action,pass,8,0,,roll-call,8:0 Approved (Final Action),crosswalk,high
minutes/2020/2020-05-11/2020-05-13_planning-commission-meeting.md,1,2020-05-13,PlanningCommission,Rezone,Land-Use,Rezone,recommendation,pass,6,0,,roll-call,Positive recommendation 6:0,crosswalk,high
minutes/2020/2020-05-11/2020-05-13_planning-commission-meeting.md,2,2020-05-13,PlanningCommission,General Plan & Rezone,Land-Use,Rezone,procedural,pass,6,0,,roll-call,6:0 Pass (Continued),crosswalk,medium
minutes/2020/2020-05-11/2020-05-13_planning-commission-meeting.md,3,2020-05-13,PlanningCommission,Conditional Use,Land-Use,Conditional-Use,final-action,pass,6,0,,roll-call,6:0 Approved (Final Action),crosswalk,high
minutes/2020/2020-05-11/2020-05-13_planning-commission-meeting.md,4,2020-05-13,PlanningCommission,Subdivision Amendment,Land-Use,Subdivision-Plat,recommendation,pass,5,1,,roll-call,Positive recommendation 5:1,crosswalk,high
minutes/2020/2020-05-25/2020-05-27_planning-commission-meeting.md,1,2020-05-27,PlanningCommission,Zone Text Amendment,Land-Use,Text-Amendment,recommendation,pass,6,0,,roll-call,Positive recommendation 6:0,crosswalk,high
minutes/2020/2020-05-25/2020-05-27_planning-commission-meeting.md,2,2020-05-27,PlanningCommission,General Plan & Rezone,Land-Use,Rezone,procedural,pass,6,1,,roll-call,6:1 Pass (Continued),crosswalk,medium
minutes/2020/2020-05-25/2020-05-27_planning-commission-meeting.md,3,2020-05-27,PlanningCommission,General Plan & Rezone,Land-Use,Rezone,recommendation,pass,6,1,,roll-call,Positive recommendation 6:1,crosswalk,high
