date,year,title,body,motion_no,motion,motion_type,result,mover,seconder,member,vote,source
2020-11-10,2020,City Council Regular Meeting,Council,1,"to approve the Minutes of the Regular Meeting held October 27, 2020",Procedural/Administrative,Voice vote - all in favor,Jake Fitisemanu,Karen Lang,,,minutes/2020/2020-11-09/2020-11-10_council-regular-meeting.md
2020-11-10,2020,City Council Regular Meeting,Council,2,to approve Resolution 20-170,Resolution,6-0 Unanimous Pass,Steve Buhler,Jake Fitisemanu,Don Christensen,Aye,minutes/2020/2020-11-09/2020-11-10_council-regular-meeting.md
2020-11-10,2020,City Council Regular Meeting,Council,2,to approve Resolution 20-170,Resolution,6-0 Unanimous Pass,Steve Buhler,Jake Fitisemanu,Jake Fitisemanu,Aye,minutes/2020/2020-11-09/2020-11-10_council-regular-meeting.md
2020-11-10,2020,City Council Regular Meeting,Council,2,to approve Resolution 20-170,Resolution,6-0 Unanimous Pass,Steve Buhler,Jake Fitisemanu,Karen Lang,Aye,minutes/2020/2020-11-09/2020-11-10_council-regular-meeting.md
2020-11-10,2020,City Council Regular Meeting,Council,2,to approve Resolution 20-170,Resolution,6-0 Unanimous Pass,Steve Buhler,Jake Fitisemanu,Lars Nordfelt,Aye,minutes/2020/2020-11-09/2020-11-10_council-regular-meeting.md
2020-11-10,2020,City Council Regular Meeting,Council,2,to approve Resolution 20-170,Resolution,6-0 Unanimous Pass,Steve Buhler,Jake Fitisemanu,Ron Bigelow,Aye,minutes/2020/2020-11-09/2020-11-10_council-regular-meeting.md
2020-11-10,2020,City Council Regular Meeting,Council,2,to approve Resolution 20-170,Resolution,6-0 Unanimous Pass,Steve Buhler,Jake Fitisemanu,Steve Buhler,Aye,minutes/2020/2020-11-09/2020-11-10_council-regular-meeting.md
2020-11-10,2020,City Council Regular Meeting,Council,3,to approve Resolution 20-171,Interlocal,6-0 Unanimous Pass,Jake Fitisemanu,Karen Lang,Don Christensen,Aye,minutes/2020/2020-11-09/2020-11-10_council-regular-meeting.md
2020-11-10,2020,City Council Regular Meeting,Council,3,to approve Resolution 20-171,Interlocal,6-0 Unanimous Pass,Jake Fitisemanu,Karen Lang,Jake Fitisemanu,Aye,minutes/2020/2020-11-09/2020-11-10_council-regular-meeting.md
2020-11-10,2020,City Council Regular Meeting,Council,3,to approve Resolution 20-171,Interlocal,6-0 Unanimous Pass,Jake Fitisemanu,Karen Lang,Karen Lang,Aye,minutes/2020/2020-11-09/2020-11-10_council-regular-meeting.md
2020-11-10,2020,City Council Regular Meeting,Council,3,to approve Resolution 20-171,Interlocal,6-0 Unanimous Pass,Jake Fitisemanu,Karen Lang,Lars Nordfelt,Aye,minutes/2020/2020-11-09/2020-11-10_council-regular-meeting.md
2020-11-10,2020,City Council Regular Meeting,Council,3,to approve Resolution 20-171,Interlocal,6-0 Unanimous Pass,Jake Fitisemanu,Karen Lang,Ron Bigelow,Aye,minutes/2020/2020-11-09/2020-11-10_council-regular-meeting.md
2020-11-10,2020,City Council Regular Meeting,Council,3,to approve Resolution 20-171,Interlocal,6-0 Unanimous Pass,Jake Fitisemanu,Karen Lang,Steve Buhler,Aye,minutes/2020/2020-11-09/2020-11-10_council-regular-meeting.md
2020-11-10,2020,City Council Regular Meeting,Council,4,to approve SMI-1-2020,Other,6-0 Unanimous Pass,Karen Lang,Don Christensen,Don Christensen,Aye,minutes/2020/2020-11-09/2020-11-10_council-regular-meeting.md
2020-11-10,2020,City Council Regular Meeting,Council,4,to approve SMI-1-2020,Other,6-0 Unanimous Pass,Karen Lang,Don Christensen,Jake Fitisemanu,Aye,minutes/2020/2020-11-09/2020-11-10_council-regular-meeting.md
2020-11-10,2020,City Council Regular Meeting,Council,4,to approve SMI-1-2020,Other,6-0 Unanimous Pass,Karen Lang,Don Christensen,Karen Lang,Aye,minutes/2020/2020-11-09/2020-11-10_council-regular-meeting.md
2020-11-10,2020,City Council Regular Meeting,Council,4,to approve SMI-1-2020,Other,6-0 Unanimous Pass,Karen Lang,Don Christensen,Lars Nordfelt,Aye,minutes/2020/2020-11-09/2020-11-10_council-regular-meeting.md
2020-11-10,2020,City Council Regular Meeting,Council,4,to approve SMI-1-2020,Other,6-0 Unanimous Pass,Karen Lang,Don Christensen,Ron Bigelow,Aye,minutes/2020/2020-11-09/2020-11-10_council-regular-meeting.md
2020-11-10,2020,City Council Regular Meeting,Council,4,to approve SMI-1-2020,Other,6-0 Unanimous Pass,Karen Lang,Don Christensen,Steve Buhler,Aye,minutes/2020/2020-11-09/2020-11-10_council-regular-meeting.md
2020-11-10,2020,City Council Regular Meeting,Council,5,to approve Resolution 20-172,Resolution,6-0 Unanimous Pass,Steve Buhler,Lars Nordfelt,Don Christensen,Aye,minutes/2020/2020-11-09/2020-11-10_council-regular-meeting.md
2020-11-10,2020,City Council Regular Meeting,Council,5,to approve Resolution 20-172,Resolution,6-0 Unanimous Pass,Steve Buhler,Lars Nordfelt,Jake Fitisemanu,Aye,minutes/2020/2020-11-09/2020-11-10_council-regular-meeting.md
2020-11-10,2020,City Council Regular Meeting,Council,5,to approve Resolution 20-172,Resolution,6-0 Unanimous Pass,Steve Buhler,Lars Nordfelt,Karen Lang,Aye,minutes/2020/2020-11-09/2020-11-10_council-regular-meeting.md
2020-11-10,2020,City Council Regular Meeting,Council,5,to approve Resolution 20-172,Resolution,6-0 Unanimous Pass,Steve Buhler,Lars Nordfelt,Lars Nordfelt,Aye,minutes/2020/2020-11-09/2020-11-10_council-regular-meeting.md
2020-11-10,2020,City Council Regular Meeting,Council,5,to approve Resolution 20-172,Resolution,6-0 Unanimous Pass,Steve Buhler,Lars Nordfelt,Ron Bigelow,Aye,minutes/2020/2020-11-09/2020-11-10_council-regular-meeting.md
2020-11-10,2020,City Council Regular Meeting,Council,5,to approve Resolution 20-172,Resolution,6-0 Unanimous Pass,Steve Buhler,Lars Nordfelt,Steve Buhler,Aye,minutes/2020/2020-11-09/2020-11-10_council-regular-meeting.md
2020-11-10,2020,City Council Study Meeting,Council,1,"to approve the Minutes of the Study Meeting held October 27, 2020",Procedural/Administrative,Voice vote - all in favor,Steve Buhler,Don Christensen,,,minutes/2020/2020-11-09/2020-11-10_council-study-meeting.md
