date,title,body,meeting_type,packet_kind,source_url,retrieved_date,format,extraction_method,path,era,bytes
2018-02-01,2-1-2018 agenda and information packet,Council,Regular,full_packet,https://whitecity.utah.gov/files/752d0f85e/2-1-2018_agenda_and_information_packet.pdf,2026-07-13,text,pdftotext -layout,raw/2018-02-01/2-1-2018_agenda_and_information_packet.pdf,metro_township,2269637
2019-11-04,2019.11.04 pc packet,PlanningCommission,Regular,full_packet,https://whitecity.utah.gov/files/27a74535e/2019.11.04_pc_packet.pdf,2026-07-13,text,pdftotext -layout,raw/2019-11-04/2019.11.04_pc_packet.pdf,metro_township,2212593
2019-11-19,11-19-19 boc item 3.1 general election board of canvassers packet,Council,Canvass,full_packet,https://whitecity.utah.gov/files/0465ff24c/11-19-19_boc_item_3.1_general_election_board_of_canvassers_packet.pdf,2026-07-13,text,pdftotext -layout,raw/2019-11-19/11-19-19_boc_item_3.1_general_election_board_of_canvassers_packet.pdf,metro_township,324974
2019-12-05,12-05-2019 combined wcmtc agenda packet,Council,Regular,full_packet,https://whitecity.utah.gov/files/58b8794c6/12-05-2019_combined_wcmtc_agenda_packet.pdf.pdf,2026-07-13,text,pdftotext -layout,raw/2019-12-05/12-05-2019_combined_wcmtc_agenda_packet.pdf.pdf,metro_township,1879374
2020-02-06,02-06-2020 meeting packet,Council,Regular,full_packet,https://whitecity.utah.gov/files/223e5f619/02-06-2020_meeting_packet.pdf,2026-07-13,text,pdftotext -layout,raw/2020-02-06/02-06-2020_meeting_packet.pdf,metro_township,443071
2020-03-05,03-05-2020 meeting packet,Council,Regular,full_packet,https://whitecity.utah.gov/files/d36d4b8a6/03-05-2020_meeting_packet.pdf,2026-07-13,text,pdftotext -layout,raw/2020-03-05/03-05-2020_meeting_packet.pdf,metro_township,350878
2020-05-07,05-07-2020 meeting packet,Council,Regular,full_packet,https://whitecity.utah.gov/files/2c1329f8e/05-07-2020_meeting_packet.pdf,2026-07-13,text,pdftotext -layout,raw/2020-05-07/05-07-2020_meeting_packet.pdf,metro_township,1660540
2020-05-07,05-07-2020 meeting packet additional - joining fema national flood insurance program,Council,Regular,full_packet,https://whitecity.utah.gov/files/418b6d537/05-07-2020_meeting_packet_additional_-_joining_fema_national_flood_insurance_program.pdf,2026-07-13,text,pdftotext -layout,raw/2020-05-07/05-07-2020_meeting_packet_additional_-_joining_fema_national_flood_insurance_program.pdf,metro_township,2099298
2020-06-04,06-04-2020 meeting packet,Council,Regular,full_packet,https://whitecity.utah.gov/files/b8c7449dd/06-04-2020_meeting_packet.pdf,2026-07-13,text,pdftotext -layout,raw/2020-06-04/06-04-2020_meeting_packet.pdf,metro_township,8746184
2020-07-02,07-02-2020 meeting packet,Council,Regular,full_packet,https://whitecity.utah.gov/files/b8c518e6c/07-02-2020_meeting_packet.pdf,2026-07-13,text,pdftotext -layout,raw/2020-07-02/07-02-2020_meeting_packet.pdf,metro_township,3510094
