stem,bytes,chars,status
2-1-2018_agenda_and_information_packet,2269637,60174,extracted
2019.11.04_pc_packet,2212593,108185,extracted
11-19-19_boc_item_3.1_general_election_board_of_canvassers_packet,324974,10602,extracted
12-05-2019_combined_wcmtc_agenda_packet.pdf,1879374,219325,extracted
02-06-2020_meeting_packet,443071,74436,extracted
03-05-2020_meeting_packet,350878,53454,extracted
05-07-2020_meeting_packet,1660540,109258,extracted
05-07-2020_meeting_packet_additional_-_joining_fema_national_flood_insurance_program,2099298,14961,extracted
06-04-2020_meeting_packet,8746184,696247,extracted
07-02-2020_meeting_packet,3510094,171365,extracted
Council+Meeting+Packet+9.3.2020,2438254,258732,extracted
10.01.2020+meeting_packet,27886467,240461,extracted
10.15.2020+workshop_meeting_packet,4718032,163328,extracted
11-05-2020_wcmtc_meeting_packet_amended,626166,25719,extracted
12-03-2020_wcmtc_meeting_packet,1682148,162094,extracted
12-17-2020_special_wcmtc_packet,932668,51010,extracted
1-07-2021_wcmtc_packet,409966,13084,extracted
2-04-2021_wcmtc_packet,407699,42519,extracted
3-4-2021_wctc_packet,7949191,25861,extracted
04-01-21_wcmt_council_meeting_packet,3555546,123969,extracted
5.6.2021+wcmt_meeting_packet,6233699,184684,extracted
5.25.2021_packet,7584670,36150,extracted
6-3-2021_wcmtc_packet,6302485,129748,extracted
7.8.2021+wcmtc_packet,1647902,86933,extracted
8-05-2021_wcmtc_packet,2009087,210748,extracted
8.26.2021_whitecitypc_packet,1390240,101518,extracted
9-02-2021_wcmtc_packet,1845471,148081,extracted
9.7.2021_whitecitypc_smpacket,5517797,29612,extracted
10-07-2021_wcmtc_packet,68152958,1173852,extracted
10.21.2021+white_city_general_plan_draft,67681732,1107386,extracted
11-18-2021_council_packet,5145585,199988,extracted
12-09-2021_wcmtc_packet,1339303,156568,extracted
1-03-2022_wcmtc_packet,67495943,1113364,extracted
1-06-2022_wcmtc_packet,2078724,31070,extracted
wcmt_02-03-2022_council_packet,519769,66023,extracted
wcmt_packet_4-7-2022,5902405,120143,extracted
05-05-22_wcmt_packet,1118145,71707,extracted
wcmt_meeting_packet_6-2-2022,3871423,286731,extracted
wcmt_packet_for_june_23_2022,347870,44694,extracted
8-4-2022_white_city_council_packet,3732239,105881,extracted
cc_packet_9-1-2022_wcmt,5681339,201902,extracted
wcmt_council_packet_oct_6_2022,1297207,76509,extracted
wcmt_council_packet_11-10-2022,61007313,473477,extracted
wcmt_council_packet_12-1-2022,533428,27128,extracted
12-15-2022_wcmt_special_meeting_packet,5795890,919988,extracted
1-05-2023_wcmt_meeting_packet,909074,35640,extracted
2-02-2023_wcmt_meeting_packet,12787748,85839,extracted
3-16-2023_wcmt_meeting_packet,5002671,50473,extracted
4-6-2023_wcmt_meeting_packet,2050964,9979,extracted
4-11-2023_wcmt_special_meeting_packet,470193,23503,extracted
230427_whitecitypc_packet_1,4122374,999555,extracted
5-4-2023_wcmt_meeting_packet,983489,40501,extracted
5-25-2023_wcmt_special_meeting_packet,4967806,1064715,extracted
6-1-2023_wcmt_meeting_packet,6830846,1039682,extracted
6-8-2023_special_wcmt_meeting_packet,2103422,166682,extracted
july_6_2023_white_city_metro_township_meeting_packet,748036,50890,extracted
8-3-2023_wcmt_meeting_packet,1565415,115489,extracted
9-7-2023_wcmt_meeting_packet,3481298,261781,extracted
10-5-2023_wcmt_meeting_packet,475705,28450,extracted
11-2-2023_wcmt_meeting_packet,1198354,109005,extracted
12.6.2023+Packet,662350,34189,extracted
12-7-2023_wcmt_meeting_packet,1431074,113241,extracted
1-4-2024_wcmt_meeting_packet,751035,32796,extracted
2-1-2024_wcmt_meeting_packet_1,4386995,189877,extracted
3-7-2024_wcmt_packet,17241965,169131,extracted
4-4-2024_wcmt_packet,1161987,189724,extracted
5-2-2024_wcmt_packet,15177307,126763,extracted
5-16-2024_wcmt_packet,729120,29757,extracted
6-6-2024_wcmt_packet,1434791,163814,extracted
6-17-2024_wc_special_meeting_packet,13635930,42930,extracted
7-11-2024_wc_packet,1148010,59535,extracted
8-1-2024_wc_packet,392529,6146,extracted
9-5-2024_wc_packet,2150635,24142,extracted
10-3-2024_wc_packet,3398091,226873,extracted
11-14-24_wc_packet,855094,34307,extracted
12-5-24_wc_packet,12640488,172671,extracted
1-2-25_wc_packet,3677145,407914,extracted
2-6-25_wc_packet,2052561,328953,extracted
3-6-25_wc_packet,6175985,187531,extracted
4-3-25_wc_packet.pdf,7733627,159669,extracted
042225_WhiteCityPC_PacketReduced,2420742,45005,extracted
5-1-25+WC+Packet,3696759,94057,extracted
6-5-25+WC+Packet,1555118,121369,extracted
6-12-25+WC+Packet,438353,22868,extracted
250624_WhiteCityPC_Packet+(1),768091,24147,extracted
7-10-25+WC+Packet,2370799,199933,extracted
8-7-25+WC+Packet,720661,50442,extracted
WC+Packet+9-4-2025,2320739,62926,extracted
10-02-25+WC+Packet,5602933,121800,extracted
11-13-25+WC+Packet,2525972,66124,extracted
11-18-25+WC+Packet,309616,7614,extracted
12-04-25+WC+Packet,1097740,62412,extracted
01-08-26+WC+Packet,6521734,83724,extracted
2-05-26+WC+Packet,5440170,426684,extracted
3-05-26+WC+Packet,2914723,178063,extracted
4-02-26+WC+Packet,4808486,151620,extracted
5-07-26+WC+Packet,1366388,101425,extracted
6-4-2026+Packet,1803307,416801,extracted
7-2-2026+Packet,1820077,187063,extracted
