date,year,title,slug,body,path,source,source_url,notice_url,pmn_body_id,pmn_file_id,retrieved_date,format,extraction_method,recovery_source,doc_type,text_path
2019-01-29,2019,White City Planning Commission Meeting,2019-01-29-planning-commission,PlanningCommission,raw/pc_2019-01-29_516407.pdf,pmn,https://www.utah.gov/pmn/files/516407.pdf,https://www.utah.gov/pmn/sitemap/notice/511711.html,5879,516407,2026-07-13,text,pdftotext -layout,pmn,minutes,text/pc_2019-01-29_516407.txt
2019-06-25,2019,White City Planning Commission Meeting,2019-06-25-planning-commission,PlanningCommission,raw/pc_2019-06-25_516409.pdf,pmn,https://www.utah.gov/pmn/files/516409.pdf,https://www.utah.gov/pmn/sitemap/notice/540943.html,5879,516409,2026-07-13,text,pdftotext -layout,pmn,minutes,text/pc_2019-06-25_516409.txt
2019-07-23,2019,White City Planning Commission Meeting,2019-07-23-planning-commission,PlanningCommission,raw/pc_2019-07-23_542532.pdf,pmn,https://www.utah.gov/pmn/files/542532.pdf,https://www.utah.gov/pmn/sitemap/notice/547249.html,5879,542532,2026-07-13,text,pdftotext -layout,pmn,minutes,text/pc_2019-07-23_542532.txt
2019-10-22,2019,White City Planning Commission Meeting,2019-10-22-planning-commission,PlanningCommission,raw/pc_2019-10-22_604509.pdf,pmn,https://www.utah.gov/pmn/files/604509.pdf,https://www.utah.gov/pmn/sitemap/notice/564709.html,5879,604509,2026-07-13,text,pdftotext -layout,pmn,minutes,text/pc_2019-10-22_604509.txt
2019-11-04,2019,White City Planning Commission Meeting,2019-11-04-planning-commission,PlanningCommission,raw/pc_2019-11-04_604507.pdf,pmn,https://www.utah.gov/pmn/files/604507.pdf,https://www.utah.gov/pmn/sitemap/notice/566139.html,5879,604507,2026-07-13,text,pdftotext -layout,pmn,minutes,text/pc_2019-11-04_604507.txt
2019-11-14,2019,White City Council Meeting,2019-11-14-council-meeting,Council,raw/council_2019-11-14_556713.pdf,pmn,https://www.utah.gov/pmn/files/556713.pdf,https://www.utah.gov/pmn/sitemap/notice/569581.html,5805,556713,2026-07-13,text,pdftotext -layout,pmn,minutes,text/council_2019-11-14_556713.txt
2020-05-26,2020,White City Planning Commission Meeting,2020-05-26-planning-commission,PlanningCommission,raw/pc_2020-05-26_641277.pdf,pmn,https://www.utah.gov/pmn/files/641277.pdf,https://www.utah.gov/pmn/sitemap/notice/605023.html,5879,641277,2026-07-13,text,pdftotext -layout,pmn,minutes,text/pc_2020-05-26_641277.txt
2020-09-22,2020,White City Planning Commission Meeting,2020-09-22-planning-commission,PlanningCommission,raw/pc_2020-09-22_690001.pdf,pmn,https://www.utah.gov/pmn/files/690001.pdf,https://www.utah.gov/pmn/sitemap/notice/629225.html,5879,690001,2026-07-13,text,pdftotext -layout,pmn,minutes,text/pc_2020-09-22_690001.txt
2021-02-09,2021,White City General Plan Steering Committee Meeting,2021-02-09-general-plan-steering-committee,GPSC,raw/pc_2021-02-09_686071.pdf,pmn,https://www.utah.gov/pmn/files/686071.pdf,https://www.utah.gov/pmn/sitemap/notice/655439.html,5879,686071,2026-07-13,text,pdftotext -layout,pmn,meeting_report,text/pc_2021-02-09_686071.txt
2021-02-23,2021,White City General Plan Steering Committee Meeting,2021-02-23-general-plan-steering-committee,GPSC,raw/pc_2021-02-23_690347.pdf,pmn,https://www.utah.gov/pmn/files/690347.pdf,https://www.utah.gov/pmn/sitemap/notice/657777.html,5879,690347,2026-07-13,scanned,ocr (tesseract; embedded text layer corrupt),pmn,meeting_report,text/pc_2021-02-23_690347.txt
