date,year,title,body,motion_no,motion,motion_type,result,mover,seconder,member,vote,source,provenance
2023-12-06,2023,White City Council Meeting,Council,1,"to approve Resolution 2023-12-01, approving the Municipal General Election",Resolution,Pass (unanimous),Allan Perry,Phillip Cardenaz,,,meeting_minutes/minutes/2023/2023-12-06/2023-12-06_council-meeting.md,minutes
2023-12-07,2023,White City Council Meeting,Council,1,to open the public hearing,Public Hearing Action,Pass (unanimous),Allan Perry,Greg Shelton,,,meeting_minutes/minutes/2023/2023-12-07/2023-12-07_council-meeting.md,minutes
2023-12-07,2023,White City Council Meeting,Council,2,to close the public hearing,Public Hearing Action,Pass (unanimous),Allan Perry,Phillip Cardenaz,,,meeting_minutes/minutes/2023/2023-12-07/2023-12-07_council-meeting.md,minutes
2023-12-07,2023,White City Council Meeting,Council,3,to approve the following resolution adopting amendments to the 2023 White City Metro Township Budget,Budget Amendment,Pass (unanimous),Phillip Cardenaz,Allan Perry,,,meeting_minutes/minutes/2023/2023-12-07/2023-12-07_council-meeting.md,minutes
2023-12-07,2023,White City Council Meeting,Council,4,to open the public hearing,Public Hearing Action,Pass (unanimous),Phillip Cardenaz,Greg Shelton,,,meeting_minutes/minutes/2023/2023-12-07/2023-12-07_council-meeting.md,minutes
2023-12-07,2023,White City Council Meeting,Council,5,to close the public hearing,Public Hearing Action,Pass (unanimous),Phillip Cardenaz,Greg Shelton,,,meeting_minutes/minutes/2023/2023-12-07/2023-12-07_council-meeting.md,minutes
2023-12-07,2023,White City Council Meeting,Council,6,to approve the following resolution adopting the 2024 White City Metro Township Budget,Budget Amendment,Pass (unanimous),Allan Perry,Phillip Cardenaz,,,meeting_minutes/minutes/2023/2023-12-07/2023-12-07_council-meeting.md,minutes
2023-12-07,2023,White City Council Meeting,Council,7,to open the public hearing,Public Hearing Action,Pass (unanimous),Allan Perry,Greg Shelton,,,meeting_minutes/minutes/2023/2023-12-07/2023-12-07_council-meeting.md,minutes
2023-12-07,2023,White City Council Meeting,Council,8,to close the public hearing,Public Hearing Action,Pass (unanimous),Allan Perry,Phillip Cardenaz,,,meeting_minutes/minutes/2023/2023-12-07/2023-12-07_council-meeting.md,minutes
2023-12-07,2023,White City Council Meeting,Council,9,to approve the following resolution adopting the 2024 White City Metro Township Consolidated Fee Schedule,Resolution,Pass (unanimous),Greg Shelton,Allan Perry,,,meeting_minutes/minutes/2023/2023-12-07/2023-12-07_council-meeting.md,minutes
2023-12-07,2023,White City Council Meeting,Council,10,to adopt the Public Outreach and Communication Strategy as presented,Other,Pass (unanimous),Allan Perry,Greg Shelton,,,meeting_minutes/minutes/2023/2023-12-07/2023-12-07_council-meeting.md,minutes
