candidate,office,election_year,filing_date,reporting_period,filing_type,stated_total_contributions,stated_total_expenditures,stated_beginning_balance,stated_ending_balance,itemized_contrib_sum,itemized_expend_sum,reconciles_contrib,reconciles_expend,recon_delta_contrib,recon_delta_expend,self_funded_amount,n_contrib_rows,n_expend_rows,source_filing,document_id,extraction_confidence,notes,filing_regime
Carson Mitchell,Council,2017,2017-08-08,Pre-Primary Financial Disclosure,interim,,,,,,,,,,,0.00,0,0,raw/201708_Carson-Mitchell_2246.pdf,2246,low,"not transcribed (below-2020-floor bonus acquisition; candidate-keyed coverage retained as inventory-only — vision deferred, see AVAILABILITY.md)",
Courtney Hansen,Council,2017,2017-08-08,Pre-Primary Financial Disclosure,interim,,,,,,,,,,,0.00,0,0,raw/201708_Courtney-Hansen_2244.pdf,2244,low,"not transcribed (below-2020-floor bonus acquisition; candidate-keyed coverage retained as inventory-only — vision deferred, see AVAILABILITY.md)",
Dave Kallas,Council,2017,2017-08-08,Pre-Primary Financial Disclosure,interim,,,,,,,,,,,0.00,0,0,raw/201708_Dave-Kallas_2245.pdf,2245,low,"not transcribed (below-2020-floor bonus acquisition; candidate-keyed coverage retained as inventory-only — vision deferred, see AVAILABILITY.md)",
Nancy Lord,Council,2017,2017-08-08,Pre-Primary Financial Disclosure,interim,,,,,,,,,,,0.00,0,0,raw/201708_Nancy-Lord_2247.pdf,2247,low,"not transcribed (below-2020-floor bonus acquisition; candidate-keyed coverage retained as inventory-only — vision deferred, see AVAILABILITY.md)",
Carson Mitchell,Council,2017,2017-09-14,Financial Disclosure (2017-09-14),interim,,,,,,,,,,,0.00,0,0,raw/201709_Carson-Mitchell_2287.pdf,2287,low,"not transcribed (below-2020-floor bonus acquisition; candidate-keyed coverage retained as inventory-only — vision deferred, see AVAILABILITY.md)",
Courtney Hansen,Council,2017,2017-09-14,Financial Disclosure (2017-09-14),interim,,,,,,,,,,,0.00,0,0,raw/201709_Courtney-Hansen_2286.pdf,2286,low,"not transcribed (below-2020-floor bonus acquisition; candidate-keyed coverage retained as inventory-only — vision deferred, see AVAILABILITY.md)",
Alan Jackson,Council,2017,2017-10-31,Pre-General Financial Disclosure (2017-10-31),interim,,,,,,,,,,,0.00,0,0,raw/201710_Alan-Jackson_2370.pdf,2370,low,"not transcribed (below-2020-floor bonus acquisition; candidate-keyed coverage retained as inventory-only — vision deferred, see AVAILABILITY.md)",
Connie Robbins,Council,2017,2017-10-31,Pre-General Financial Disclosure (2017-10-31),interim,,,,,,,,,,,0.00,0,0,raw/201710_Connie-Robbins_2369.pdf,2369,low,"not transcribed (below-2020-floor bonus acquisition; candidate-keyed coverage retained as inventory-only — vision deferred, see AVAILABILITY.md)",
Dave Kallas,Council,2017,2017-10-31,Pre-General Financial Disclosure (2017-10-31),interim,,,,,,,,,,,0.00,0,0,raw/201710_Dave-Kallas_2372.pdf,2372,low,"not transcribed (below-2020-floor bonus acquisition; candidate-keyed coverage retained as inventory-only — vision deferred, see AVAILABILITY.md)",
Derk Timothy,Mayor,2017,2017-10-31,Pre-General Financial Disclosure (2017-10-31),interim,,,,,,,,,,,0.00,0,0,raw/201710_Derk-Timothy_2373.pdf,2373,low,"not transcribed (below-2020-floor bonus acquisition; candidate-keyed coverage retained as inventory-only — vision deferred, see AVAILABILITY.md)",
