candidate,office,election_year,filing_date,reporting_period,filing_type,stated_total_contributions,stated_total_expenditures,stated_beginning_balance,stated_ending_balance,itemized_contrib_sum,itemized_expend_sum,reconciles_contrib,reconciles_expend,recon_delta_contrib,recon_delta_expend,self_funded_amount,n_contrib_rows,n_expend_rows,source_filing,document_id,extraction_confidence,notes,filing_regime
H. Brett Helsten,Metro Township Council Seat 1,2016,2016-11-01,General-election report (November),interim,300.00,72.89,0.00,227.11,300.00,72.89,True,True,0.00,0.00,150.00,3,2,raw/2016november_h_brett_helsten_kearns_1.pdf,5b292bc2,medium,vision-transcribed(read-tool),
Patrick Schaeffer,Metro Township Council Seat 1,2016,2016-11-01,General-election report (November),interim,0.00,0.00,100.00,100.00,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/2016november_patrick_schaleffer_kearns_1.pdf,75cea1e2,medium,vision-transcribed(read-tool),
Alan Peterson,Metro Township Council Seat 2,2016,2016-11-01,General-election report (November),interim,50.00,50.00,-0.00,-0.00,50.00,50.00,True,True,0.00,0.00,50.00,1,1,raw/2016november_alan_peterson_dbl_kearns_2.pdf,13b005e4,medium,vision-transcribed(read-tool),
Christopher James Geertsen,Metro Township Council Seat 3,2016,2016-06-01,Pre-primary interim (June),interim,231.43,209.96,0.00,21.47,,,,,,,0.00,0,0,raw/2016june_christopher_geertsen_trip_kearns_3.pdf,5cad93e2,low,vision-transcribed(read-tool); totals-only(no itemization); totals-only(no itemization); superseded (cumulative snapshot; cycle total = latest report),
Dennis Walton,Metro Township Council Seat 3,2016,2016-06-01,Pre-primary interim (June),interim,150.00,50.00,0.00,100.00,150.00,50.00,True,True,0.00,0.00,0.00,2,1,raw/2016june_dennis_walton_dbl_kearns_3.pdf,f0458504,medium,vision-transcribed(read-tool),
Jonatan Lefler,Metro Township Council Seat 3,2016,2016-06-01,Pre-primary interim (June),interim,100.00,68.68,0.00,31.32,,,,,,,0.00,0,0,raw/2016june_jonatan_lefler_trip_kearns_3.pdf,a84acdc6,low,vision-transcribed(read-tool); totals-only(no itemization); totals-only(no itemization),
Matt Welch,Metro Township Council Seat 3,2016,2016-06-01,Pre-primary interim (June),interim,50.00,50.00,0.00,0.00,50.00,50.00,True,True,0.00,0.00,50.00,1,1,raw/2016june_matt_welch_dbl_kearns_3.pdf,904ea345,medium,vision-transcribed(read-tool); superseded (cumulative snapshot; cycle total = latest report),
Ruby Brown,Metro Township Council Seat 3,2016,2016-06-01,Pre-primary interim (June),interim,100.00,50.00,0.00,100.00,,,,,,,0.00,0,0,raw/2016june_ruby_brown_kearns_3.pdf,0802794f,low,vision-transcribed(read-tool); totals-only(no itemization); totals-only(no itemization),
Steve Perry,Metro Township Council Seat 3,2016,2016-06-01,Pre-primary interim (June),interim,2880.00,2235.29,0.00,644.71,2880.00,2235.29,True,True,0.00,0.00,150.00,4,5,raw/2016june_steve_perry_trip_kearns_3_fixed.pdf,3c3920df,medium,vision-transcribed(read-tool),
Jonatan Lefler,Metro Township Council Seat 3,2016,2016-07-01,Pre-primary interim (July),interim,0.00,32.32,32.32,0.00,0.00,,True,,0.00,,0.00,0,0,raw/2016july_jonatan_lefler_kearns_3.pdf,9e11ac7b,low,vision-transcribed(read-tool); totals-only(no itemization),
Matt Welch,Metro Township Council Seat 3,2016,2016-07-01,Pre-primary interim (July),interim,50.00,50.00,0.00,0.00,50.00,50.00,True,True,0.00,0.00,50.00,1,1,raw/2016july_matt_welch_kearns_3.pdf,166ee36c,medium,vision-transcribed(read-tool),
Christopher James Geertsen,Metro Township Council Seat 3,2016,2016-11-01,General-election report (November),interim,947.14,968.61,21.47,0.00,947.14,968.61,True,True,0.00,0.00,822.14,3,5,raw/2016november_christopher_geertsen_kearns_3.pdf,c88f90f2,medium,vision-transcribed(read-tool),
Steve Perry,Metro Township Council Seat 3,2016,2016-11-01,General-election report (November),interim,2850.00,2316.34,644.71,1178.37,2850.00,2316.35,True,True,0.00,0.01,0.00,3,10,raw/2016november_steve_perry_dbl_kearns.pdf,e5de7b8e,medium,vision-transcribed(read-tool),
Tina Snow,Metro Township Council Seat 4,2016,2016-11-01,General-election report (November),interim,0.00,50.00,0.00,-50.00,0.00,50.00,True,True,0.00,0.00,0.00,0,1,raw/2016november_tina_snow_kearns_4.pdf,49db965b,medium,vision-transcribed(read-tool),
Brian Richards,Metro Township Council Seat 5,2016,2016-11-01,General-election report (November),interim,222.73,179.78,25.00,67.95,,,,,,,0.00,0,0,raw/2016november_brian_richards_trip_kearns_5.pdf,008af078,low,vision-transcribed(read-tool); totals-only(no itemization); totals-only(no itemization),
Kelly F. Bush,Metro Township Council Seat 5,2016,2016-11-01,General-election report (November),interim,745.94,442.90,0.00,303.04,745.94,442.90,True,True,0.00,0.00,0.00,8,8,raw/2016november_kelly_bush_kearns_5.pdf,d592472a,medium,vision-transcribed(read-tool),
Alan Peterson,Metro Township Council Seat 2,2017,2017-11-01,General-election report (November),interim,50.00,50.00,0.00,,50.00,50.00,True,True,0.00,0.00,50.00,1,1,raw/alan_peterson_trip_kearns.pdf,596ebcca,medium,vision-transcribed(read-tool),
Tina Snow,Metro Township Council Seat 4,2017,2017-11-01,General-election report (November),interim,0.00,0.00,0.00,0.00,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/tina_snow_trip_kearns.pdf,dc03a0e6,medium,vision-transcribed(read-tool),
Patrick Daniel Schaeffer,Metro Township Council District 1,2019,2019-10-01,Report prior to general election (October),interim,100.00,170.00,200.00,130.00,100.00,170.00,True,True,0.00,0.00,0.00,1,2,raw/patrick_schaeffer_trip_kearns1.pdf,48306a26,medium,vision-transcribed(read-tool),
Samuel J. Higginson,Metro Township Council District 1,2019,2019-10-01,Report prior to general election (October),interim,700.00,697.50,0.00,2.50,700.00,697.50,True,True,0.00,0.00,600.00,4,6,raw/samuel_higginson_trip_kearns.pdf,fad249c6,medium,vision-transcribed(read-tool),
Patrick Daniel Schaeffer,Metro Township Council District 1,2019,2019-12-01,Year-end summary (December),summary,0.00,0.00,130.00,130.00,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/patrick_schaeffer_trip_kearns.pdf,313cbd9e,medium,vision-transcribed(read-tool),
Samuel J. Higginson,Metro Township Council District 1,2019,2019-12-01,Year-end summary (December),summary,,,,,,,,,,,0.00,0,0,raw/samuel_higginson_trip_kearns_1.pdf,af72ce3e,low,vision-transcribed(read-tool),
Christopher James Geertsen,Metro Township Council District 3,2019,2019-08-01,Pre-primary interim (August),interim,50.00,50.00,0.00,0.00,,,,,,,0.00,0,0,raw/christophergeertsen2019.pdf,3ec9a7d3,low,vision-transcribed(read-tool); totals-only(no itemization); totals-only(no itemization),
Chrystal Butterfield,Metro Township Council District 3,2019,2019-08-01,Pre-primary interim (August),interim,196.90,196.90,0.00,0.00,196.90,196.90,True,True,0.00,0.00,196.90,2,2,raw/chrystalbutterfield2019.pdf,03652412,medium,vision-transcribed(read-tool),
Ruby Brown,Metro Township Council District 3,2019,2019-08-01,Pre-primary interim (August),interim,,50.00,,,,50.00,,True,,0.00,0.00,0,1,raw/rubybrown2019.pdf,4333ea3d,low,vision-transcribed(read-tool); superseded (cumulative snapshot; cycle total = latest report),
Chrystal Butterfield,Metro Township Council District 3,2019,2019-10-01,Report prior to general election (October),interim,0.00,0.00,0.00,0.00,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/chrystal_butterfield_trip_kearns.pdf,4f9742ca,medium,vision-transcribed(read-tool),
Ruby Brown,Metro Township Council District 3,2019,2019-10-01,Report prior to general election (October),interim,0.00,50.00,0.00,-50.00,0.00,,True,,0.00,,0.00,0,0,raw/ruby_brown_trip_kearns3.pdf,69345a7c,low,vision-transcribed(read-tool); totals-only(no itemization),
Chrystal Butterfield,Metro Township Council District 3,2019,2019-12-01,Year-end summary (December),summary,100.00,100.00,0.00,0.00,100.00,100.00,True,True,0.00,0.00,0.00,1,1,raw/chrystal_butterfield_trip_kearns_1.pdf,f239b724,medium,vision-transcribed(read-tool),
Brian Richards,Metro Township Council District 5,2019,2019-10-01,Report prior to general election (October),interim,1511.75,1511.75,0.00,0.00,1511.75,1516.98,True,False,0.00,5.23,1391.75,3,12,raw/brian_richards_trip_kearns.pdf,94e65ce4,low,vision-transcribed(read-tool); expend!=stated,
Kelly Bush,Metro Township Council District 5,2019,2019-10-01,Report prior to general election (October),interim,1500.04,1292.42,0.00,207.62,1500.04,1292.42,True,True,0.00,0.00,0.00,10,7,raw/kelly_bush_trip_kearns.pdf,6c98d16e,medium,vision-transcribed(read-tool); superseded (cumulative snapshot; cycle total = latest report),
Brian Richards,Metro Township Council District 5,2019,2019-12-01,Year-end summary (December),summary,0.00,0.00,0.00,0.00,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/brian_richards_trip_kearns_1.pdf,dc1fa3f5,medium,vision-transcribed(read-tool),
Kelly Bush,Metro Township Council District 5,2019,2019-12-01,Year-end summary (December),summary,1500.04,1477.92,207.62,22.12,1500.04,1477.92,True,True,0.00,0.00,0.00,10,9,raw/kelly_bush_trip_kearns_1.pdf,ca6a6bfc,medium,vision-transcribed(read-tool),
Alan Peterson,Metro Township Council District 2,2021,2021-11-01,General-election report (November),interim,70.98,70.98,,0.00,70.98,70.98,True,True,0.00,0.00,70.98,1,2,raw/alan_peterson_kearns_2.pdf,b412a052,medium,vision-transcribed(read-tool); superseded (cumulative snapshot; cycle total = latest report),
Royce Gibson,Metro Township Council District 2,2021,2021-11-01,General-election report (November),interim,50.00,50.00,0.00,0.00,,,,,,,0.00,0,0,raw/royce_gibson_dbl_kearns_2.pdf,5a73f217,low,vision-transcribed(read-tool); totals-only(no itemization); totals-only(no itemization); superseded (cumulative snapshot; cycle total = latest report),
Alan Peterson,Metro Township Council District 2,2021,2021-12-01,Year-end summary (December),summary,70.98,70.98,0.00,0.00,70.98,70.98,True,True,0.00,0.00,70.98,2,2,raw/alan_peterson_kearns.pdf,680e3412,medium,vision-transcribed(read-tool),
Royce Gibson,Metro Township Council District 2,2021,2021-12-01,Year-end summary (December),summary,50.00,50.00,0.00,0.00,,,,,,,0.00,0,0,raw/royce_gibson_kearns.pdf,adf49d64,low,vision-transcribed(read-tool); totals-only(no itemization); totals-only(no itemization),
Tina Snow,Metro Township Council District 4,2021,2021-11-01,General-election report (November),interim,0.00,0.00,0.00,50.00,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/tina_snow_kearns_4.pdf,83b00d56,medium,vision-transcribed(read-tool); superseded (cumulative snapshot; cycle total = latest report),
Tina Snow,Metro Township Council District 4,2021,2021-12-01,Year-end summary (December),summary,0.00,50.00,0.00,0.00,0.00,,True,,0.00,,0.00,0,0,raw/tina_snow_kearns.pdf,bc594790,low,vision-transcribed(read-tool); totals-only(no itemization),
