candidate,office,election_year,filing_date,reporting_period,filing_type,stated_total_contributions,stated_total_expenditures,stated_beginning_balance,stated_ending_balance,itemized_contrib_sum,itemized_expend_sum,reconciles_contrib,reconciles_expend,recon_delta_contrib,recon_delta_expend,self_funded_amount,n_contrib_rows,n_expend_rows,source_filing,document_id,extraction_confidence,notes,filing_regime
Tawnee McCay,Council,2021,2021-11-02,Single cycle report (2021 uncontested race),summary,100.00,147.77,4782.07,4734.30,100.00,147.77,True,True,0.00,0.00,0.00,1,1,raw/2021_mccay_campaign-finance-report.pdf,8a4744cb,medium,vision-transcribed(read-tool),
Tish Buroker,Council,2021,2021-11-02,Single cycle report (2021 uncontested race),summary,600.00,306.71,0.00,293.29,600.00,306.71,True,True,0.00,0.00,0.00,2,1,raw/2021_buroker_campaign-finance-report.pdf,3e93aa1f,high,vision-transcribed(read-tool),
Trent Staggs,Mayor,2021,2021-11-02,Single cycle report (2021 uncontested race),summary,28750.00,8133.28,0.00,20616.72,,,,,,,0.00,0,0,raw/2021_staggs_campaign-finance-report.pdf,53581478,low,vision-transcribed(read-tool); totals-only(no itemization); totals-only(no itemization),
Andy Pierucci,Council,2023,2023-10-24,"Interim (filed 2023-10-24, pre-general) [redacted]",interim,,,,,,,,,,,0.00,0,0,raw/2023_pierucci_state_10-24-23_redacted.pdf,a9133262,low,not transcribed (ACQUISITION GAP -- the state file mis-publishes Spencer Haymond's 28-Day report under Pierucci's filename; AVAILABILITY.md #6). Pierucci's real 10-24-23 28-Day report was never acquired; his cycle total is carried by his year-end summary's Column-E cover. NOT vision-transcribed (would attribute Haymond's donors to Pierucci).,
Andy Pierucci,Council,2023,2023-11-14,Interim (filed 2023-11-14),interim,0.00,150.00,2872.22,2722.22,0.00,150.00,True,True,0.00,0.00,0.00,0,1,raw/2023_pierucci_state_11-14-23.pdf,74b2bdb0,high,"text-transcribed(born-digital layer, not vision)",
Andy Pierucci,Council,2023,2023-12-21,"Interim (filed 2023-12-21, year-end)",interim,0.00,0.00,2722.22,2722.22,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/2023_pierucci_state_12-21-23.pdf,89bbb6e4,high,"text-transcribed(born-digital layer, not vision)",
Andy Pierucci,Council,2023,2024-01-10,"Year-End Summary (2023 cycle, filed ~Jan 2024)",summary,5540.00,2817.78,0.00,2722.22,,150.00,,False,,-2667.78,0.00,0,1,raw/2023_pierucci_financial-2024.pdf,db076468,low,"text-transcribed(born-digital layer, not vision); totals-only(no itemization); expend!=stated",
David Gatti,Council,2023,2023-10-24,"Interim (filed 2023-10-24, pre-general)",interim,3225.00,2315.12,0.00,909.88,3000.00,2240.42,False,False,-225.00,-74.70,50.00,15,8,raw/2023_gatti_state_10-24-23.pdf,cfaed870,low,vision-transcribed(read-tool); contrib!=stated; expend!=stated,
David Gatti,Council,2023,2023-11-14,Interim (filed 2023-11-14),interim,1028.02,1937.90,909.88,0.00,1028.02,1934.90,True,False,0.00,-3.00,1028.02,1,1,raw/2023_gatti_state_11-14-23.pdf,a92477bf,low,vision-transcribed(read-tool); expend!=stated,
David Gatti,Council,2023,2023-12-21,"Interim (filed 2023-12-21, year-end)",interim,0.00,0.00,0.00,0.00,0.00,0.00,True,True,0.00,0.00,0.00,0,0,raw/2023_gatti_state_12-21-23.pdf,d25b78a9,medium,vision-transcribed(read-tool),
