candidate,office,seat,election_year,filing_date,reporting_period,date,vendor_raw,vendor_normalized,purpose,amount,in_kind,is_incremental,source_filing,document_id,line_no,extraction_confidence,extract_method,needs_review
Tom Macdonald,Council,At-Large,2021,2023-01-10,Annual 2023,2021-12-04,|Tom Macdonald Repay Loan,|Tom Macdonald Repay Loan,,4590.21,False,True,raw/202501_2023-Tom-Macdonald-disclosure.pdf,cd5a5dd8,18,medium,utah_standard_form/ocr,0
Tom Macdonald,Council,At-Large,2021,2023-01-10,Annual 2023,2022-01-28,|Tom Macdonald campaign helpers and mileage,|Tom Macdonald campaign helpers and mileage,,365.00,False,True,raw/202501_2023-Tom-Macdonald-disclosure.pdf,cd5a5dd8,20,medium,utah_standard_form/ocr,0
Chris Killpack,Council,At-Large,2023,2023-08-29,Primary,2023-05-22,City of Orem,City of Orem,Parade Fees,50.00,False,True,raw/202503_8.29.23-Chris-Killpack-Orem-Council-Digitial-Expense-Report-signed.pdf,d314ba55,37,high,utah_standard_form/text,0
Chris Killpack,Council,At-Large,2023,2023-08-29,Primary,2023-06-02,McNeil Printing,McNeil Printing,Parade Banners,181.16,False,True,raw/202503_8.29.23-Chris-Killpack-Orem-Council-Digitial-Expense-Report-signed.pdf,d314ba55,38,high,utah_standard_form/text,0
Chris Killpack,Council,At-Large,2023,2023-08-29,Primary,2023-06-05,City of Orem,City of Orem,Council Candidate Fee,75.00,False,True,raw/202503_8.29.23-Chris-Killpack-Orem-Council-Digitial-Expense-Report-signed.pdf,d314ba55,39,high,utah_standard_form/text,0
Chris Killpack,Council,At-Large,2023,2023-08-29,Primary,2023-06-05,Costco,Costco,Parade Candy,12.54,False,True,raw/202503_8.29.23-Chris-Killpack-Orem-Council-Digitial-Expense-Report-signed.pdf,d314ba55,40,high,utah_standard_form/text,0
Chris Killpack,Council,At-Large,2023,2023-08-29,Primary,2023-06-05,Maceys,Maceys,Parade Candy,22.19,False,True,raw/202503_8.29.23-Chris-Killpack-Orem-Council-Digitial-Expense-Report-signed.pdf,d314ba55,41,high,utah_standard_form/text,0
Chris Killpack,Council,At-Large,2023,2023-08-29,Primary,2023-06-05,Winco,Winco,Parade Candy,21.36,False,True,raw/202503_8.29.23-Chris-Killpack-Orem-Council-Digitial-Expense-Report-signed.pdf,d314ba55,42,high,utah_standard_form/text,0
Chris Killpack,Council,At-Large,2023,2023-08-29,Primary,2023-06-06,Walmart,Walmart,Parade Candy,86.87,False,True,raw/202503_8.29.23-Chris-Killpack-Orem-Council-Digitial-Expense-Report-signed.pdf,d314ba55,43,high,utah_standard_form/text,0
Chris Killpack,Council,At-Large,2023,2023-08-29,Primary,2023-06-09,Walmart,Walmart,Parade T-Shirts & Pinwheels,148.48,False,True,raw/202503_8.29.23-Chris-Killpack-Orem-Council-Digitial-Expense-Report-signed.pdf,d314ba55,44,high,utah_standard_form/text,0
